StartTime: 2020-01-11 10:02:00.796
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(бу)	hx	hy	hz 
0x50	10:13:09.518	0.0352	0.0337	1.0576	-0.4272	1.5259	0.1221	0.5273	0.6317	80.3265	32.6900	619	99	-298 
0x50	10:13:09.533	0.0347	0.0332	1.0586	-0.3662	1.5259	0.1221	0.5383	0.6317	80.3265	32.6900	620	98	-297 
0x50	10:13:09.549	0.0352	0.0332	1.0547	-0.4272	1.5869	0.0610	0.5438	0.6372	80.3265	32.7000	620	101	-297 
0x50	10:13:09.565	0.0361	0.0322	1.0576	-0.6714	1.5869	0.1221	0.5438	0.6372	80.3265	32.7100	621	102	-296 
0x50	10:13:09.627	0.0361	0.0317	1.0576	-0.3662	1.5869	0.1831	0.5493	0.6372	80.3265	32.7100	620	100	-295 
0x50	10:13:09.627	0.0356	0.0337	1.0581	-0.1831	1.6479	0.1831	0.5603	0.6372	80.3320	32.7000	620	98	-293 
0x50	10:13:09.627	0.0356	0.0332	1.0566	-0.2441	1.5259	0.0610	0.5713	0.6372	80.3320	32.7200	619	99	-295 
0x50	10:13:09.643	0.0356	0.0337	1.0571	-1.2817	1.4648	0.1221	0.5713	0.6372	80.3320	32.6900	617	100	-296 
0x50	10:13:09.674	0.0356	0.0342	1.0576	-1.4648	1.4038	0.1221	0.5603	0.6372	80.3320	32.7100	618	101	-294 
0x50	10:13:09.690	0.0347	0.0327	1.0586	-0.7324	1.5259	0.0610	0.5548	0.6317	80.3320	32.7100	618	100	-294 
0x50	10:13:09.705	0.0356	0.0342	1.0571	-0.4272	1.5869	0.1221	0.5603	0.6372	80.3320	32.7300	618	103	-294 
0x50	10:13:09.721	0.0361	0.0347	1.0581	-0.6714	1.5869	0.1831	0.5658	0.6372	80.3265	32.7100	619	103	-294 
0x50	10:13:09.752	0.0371	0.0337	1.0571	-0.7324	1.4648	0.1831	0.5658	0.6317	80.3265	32.7000	619	102	-293 
