StartTime: 2020-01-11 10:02:00.796
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	11:45:50.532	0.0298	0.0205	1.0601	-0.3662	0.0000	-0.0610	1.3184	-1.5326	77.3602	30.8200	803	178	-11 
0x50	11:45:50.552	0.0298	0.0200	1.0601	0.2441	0.0000	0.0000	1.3184	-1.5326	77.3657	30.8200	804	178	-12 
0x50	11:45:50.572	0.0288	0.0205	1.0591	1.3428	0.1221	0.0000	1.3348	-1.5326	77.3657	30.8200	802	179	-10 
0x50	11:45:50.592	0.0298	0.0215	1.0601	1.5259	0.1221	0.0000	1.3623	-1.5326	77.3657	30.8100	803	180	-10 
0x50	11:45:50.612	0.0303	0.0229	1.0596	1.5869	0.1221	0.0000	1.3898	-1.5326	77.3657	30.8100	802	179	-10 
0x50	11:45:50.632	0.0298	0.0239	1.0596	0.3052	0.0000	0.0000	1.4117	-1.5326	77.3657	30.8100	801	179	-11 
0x50	11:45:50.652	0.0293	0.0220	1.0601	-2.3193	-0.1221	-0.1831	1.3788	-1.5326	77.3657	30.8100	803	176	-10 
0x50	11:45:50.690	0.0298	0.0205	1.0576	-6.4697	0.0000	-0.3662	1.2744	-1.5381	77.3602	30.8300	805	177	-8 
0x50	11:45:50.692	0.0293	0.0176	1.0601	-9.0942	0.0000	-0.4883	1.0931	-1.5381	77.3492	30.8300	807	179	-7 
0x50	11:45:50.711	0.0288	0.0151	1.0581	-1.2207	-0.3052	-0.3662	1.0162	-1.5436	77.3438	30.8200	804	179	-8 
0x50	11:45:50.731	0.0288	0.0161	1.0591	0.0000	0.0000	0.0000	1.0107	-1.5436	77.3438	30.8300	802	181	-7 
0x50	11:45:50.751	0.0308	0.0151	1.0591	1.8921	0.2441	0.0000	1.0162	-1.5381	77.3438	30.8300	802	179	-8 
0x50	11:45:50.771	0.0313	0.0181	1.0596	7.7515	0.4272	0.1221	1.1481	-1.5326	77.3438	30.8300	804	179	-12 
0x50	11:45:50.791	0.0298	0.0215	1.0586	6.2866	0.3052	0.1831	1.2964	-1.5271	77.3492	30.8300	805	178	-12 
0x50	11:45:50.811	0.0298	0.0220	1.0596	3.6621	0.1831	0.0610	1.3843	-1.5216	77.3547	30.8500	805	177	-9 
0x50	11:45:50.831	0.0298	0.0229	1.0586	3.6621	0.3052	0.1831	1.4502	-1.5216	77.3602	30.8300	805	178	-10 
0x50	11:45:50.860	0.0298	0.0234	1.0591	4.5776	0.2441	0.1831	1.5326	-1.5161	77.3657	30.8200	806	177	-12 
0x50	11:45:50.870	0.0293	0.0273	1.0586	2.3804	0.1221	0.1831	1.5985	-1.5161	77.3712	30.8400	805	178	-12 
0x50	11:45:50.891	0.0303	0.0278	1.0581	0.9155	0.0610	0.0000	1.6260	-1.5106	77.3767	30.8500	805	176	-13 
0x50	11:45:50.947	0.0288	0.0283	1.0620	-0.1831	0.0000	-0.0610	1.6315	-1.5161	77.3767	30.8300	806	177	-11 
0x50	11:45:50.947	0.0293	0.0283	1.0596	-1.7090	-0.0610	-0.1221	1.6095	-1.5161	77.3767	30.8400	805	177	-9 
0x50	11:45:50.950	0.0298	0.0254	1.0581	-2.0752	-0.1221	-0.1221	1.5656	-1.5161	77.3767	30.8400	803	178	-8 
0x50	11:45:50.969	0.0308	0.0249	1.0601	-2.7466	-0.2441	-0.1831	1.5161	-1.5216	77.3767	30.8300	802	178	-10 
0x50	11:45:50.989	0.0308	0.0239	1.0601	-3.1128	-0.1221	-0.1831	1.4557	-1.5271	77.3712	30.8300	803	179	-11 
0x50	11:45:51.009	0.0288	0.0234	1.0571	-2.9907	-0.1831	-0.2441	1.3898	-1.5326	77.3657	30.8400	802	179	-10 
0x50	11:45:51.029	0.0313	0.0205	1.0571	-3.4790	-0.1831	-0.2441	1.3239	-1.5326	77.3657	30.8500	801	178	-7 
0x50	11:45:51.049	0.0303	0.0200	1.0581	-4.0894	-0.2441	-0.3052	1.2469	-1.5436	77.3602	30.8500	801	176	-7 
0x50	11:45:51.068	0.0308	0.0190	1.0601	-3.2349	-0.0610	-0.1831	1.1755	-1.5436	77.3602	30.8600	802	176	-8 
0x50	11:45:51.089	0.0308	0.0181	1.0601	-3.1738	-0.0610	-0.1831	1.1096	-1.5491	77.3602	30.8600	804	177	-8 
0x50	11:45:51.121	0.0298	0.0156	1.0586	-1.0376	-0.0610	-0.1221	1.0657	-1.5491	77.3547	30.8600	804	178	-9 
0x50	11:45:51.127	0.0298	0.0156	1.0581	0.7324	0.0000	-0.1221	1.0602	-1.5491	77.3547	30.8300	804	178	-9 
0x50	11:45:51.148	0.0313	0.0186	1.0620	1.8921	0.0000	0.0000	1.0931	-1.5491	77.3602	30.8600	802	178	-8 
0x50	11:45:51.168	0.0308	0.0195	1.0605	1.2207	0.0000	0.0000	1.1206	-1.5546	77.3602	30.8600	802	179	-9 
0x50	11:45:51.188	0.0313	0.0190	1.0591	1.1597	0.1221	0.0000	1.1426	-1.5546	77.3602	30.8600	801	177	-9 
0x50	11:45:51.207	0.0313	0.0186	1.0557	1.2207	0.0610	0.0000	1.1646	-1.5546	77.3602	30.8700	801	178	-9 
0x50	11:45:51.228	0.0298	0.0205	1.0596	1.0376	0.0000	-0.0610	1.1865	-1.5546	77.3602	30.8600	803	179	-11 
0x50	11:45:51.247	0.0283	0.0200	1.0591	0.7935	0.0000	-0.0610	1.2030	-1.5546	77.3602	30.8600	804	180	-10 
0x50	11:45:51.268	0.0298	0.0200	1.0571	0.4272	0.0000	-0.0610	1.2140	-1.5546	77.3602	30.8500	802	179	-10 
0x50	11:45:51.316	0.0283	0.0200	1.0591	0.1831	0.0000	-0.0610	1.2140	-1.5546	77.3602	30.8700	800	179	-10 
0x50	11:45:51.316	0.0293	0.0200	1.0591	0.2441	0.0610	-0.0610	1.2195	-1.5546	77.3547	30.8700	801	181	-12 
0x50	11:45:51.327	0.0313	0.0205	1.0615	1.3428	0.0610	-0.0610	1.2360	-1.5546	77.3547	30.8600	802	181	-10 
0x50	11:45:51.347	0.0303	0.0215	1.0615	1.0376	0.0000	-0.1221	1.2579	-1.5546	77.3547	30.8700	803	178	-9 
0x50	11:45:51.366	0.0308	0.0200	1.0576	-0.3662	0.0000	-0.1221	1.2579	-1.5546	77.3492	30.8600	803	178	-8 
0x50	11:45:51.386	0.0317	0.0190	1.0601	-0.0610	0.0000	0.0000	1.2524	-1.5546	77.3492	30.8800	801	179	-7 
0x50	11:45:51.406	0.0303	0.0210	1.0596	0.1221	0.0000	-0.0610	1.2524	-1.5601	77.3492	30.8600	803	181	-8 
0x50	11:45:51.426	0.0303	0.0195	1.0581	0.5493	0.0000	-0.1221	1.2579	-1.5601	77.3492	30.8600	804	180	-9 
0x50	11:45:51.446	0.0303	0.0195	1.0610	0.1831	0.0000	0.0000	1.2634	-1.5601	77.3492	30.8600	802	178	-11 
0x50	11:45:51.513	0.0293	0.0215	1.0601	-0.0610	0.0000	-0.0610	1.2634	-1.5601	77.3492	30.8600	802	176	-12 
0x50	11:45:51.513	0.0293	0.0220	1.0581	-0.4883	-0.0610	-0.1221	1.2579	-1.5601	77.3492	30.8500	802	175	-11 
0x50	11:45:51.513	0.0293	0.0200	1.0591	-0.4272	0.0000	-0.1221	1.2469	-1.5601	77.3492	30.8700	802	177	-10 
0x50	11:45:51.526	0.0298	0.0190	1.0576	-0.1831	0.0000	-0.0610	1.2360	-1.5601	77.3547	30.8700	803	177	-7 
0x50	11:45:51.545	0.0308	0.0205	1.0581	0.0000	0.0000	-0.0610	1.2360	-1.5601	77.3547	30.8600	802	178	-7 
0x50	11:45:51.565	0.0298	0.0210	1.0581	0.0000	0.0000	-0.1221	1.2360	-1.5601	77.3547	30.8800	802	177	-7 
0x50	11:45:51.590	0.0303	0.0190	1.0581	0.0000	0.0000	-0.0610	1.2360	-1.5656	77.3547	30.8700	801	177	-7 
0x50	11:45:51.605	0.0298	0.0190	1.0596	-0.6714	-0.0610	-0.1831	1.2250	-1.5656	77.3547	30.8900	801	177	-9 
0x50	11:45:51.625	0.0303	0.0186	1.0591	-1.3428	-0.0610	-0.1831	1.2030	-1.5656	77.3547	30.8900	801	177	-6 
0x50	11:45:51.644	0.0298	0.0181	1.0596	-1.3428	0.0000	-0.1221	1.1700	-1.5656	77.3492	30.8800	802	178	-8 
0x50	11:45:51.668	0.0293	0.0190	1.0596	-0.6104	0.0000	-0.0610	1.1536	-1.5656	77.3492	30.8700	803	177	-10 
0x50	11:45:51.708	0.0298	0.0186	1.0586	1.0376	0.1831	0.0000	1.1536	-1.5656	77.3547	30.8800	803	178	-9 
0x50	11:45:51.708	0.0293	0.0181	1.0605	2.7466	0.1831	0.0000	1.1920	-1.5656	77.3547	30.8800	804	178	-13 
0x50	11:45:51.724	0.0303	0.0210	1.0630	2.5635	0.0610	0.0000	1.2469	-1.5601	77.3547	30.8900	804	178	-11 
0x50	11:45:51.744	0.0303	0.0215	1.0586	2.2583	0.0610	0.0000	1.2909	-1.5601	77.3547	30.8700	803	178	-12 
0x50	11:45:51.764	0.0313	0.0215	1.0586	1.9531	0.0610	0.0000	1.3293	-1.5601	77.3602	30.8900	803	178	-12 
0x50	11:45:51.784	0.0303	0.0225	1.0581	2.6245	0.0610	0.0000	1.3788	-1.5601	77.3602	30.8700	804	177	-8 
0x50	11:45:51.804	0.0298	0.0249	1.0576	1.5869	0.1221	0.0000	1.4172	-1.5601	77.3657	30.8900	805	178	-9 
0x50	11:45:51.823	0.0293	0.0249	1.0596	-1.2817	-0.1831	-0.1221	1.4227	-1.5601	77.3602	30.9000	804	178	-10 
0x50	11:45:51.843	0.0303	0.0225	1.0591	-3.5400	-0.1831	-0.3052	1.3623	-1.5656	77.3602	30.8900	804	177	-10 
0x50	11:45:51.872	0.0293	0.0195	1.0601	-3.3569	-0.0610	-0.2441	1.2909	-1.5656	77.3547	30.8900	805	178	-11 
0x50	11:45:51.882	0.0293	0.0186	1.0586	-2.5024	0.0000	-0.1831	1.2305	-1.5710	77.3547	30.8900	804	179	-9 
0x50	11:45:51.903	0.0298	0.0186	1.0596	-1.8921	0.0000	-0.1221	1.1865	-1.5710	77.3492	30.9100	804	180	-7 
0x50	11:45:51.957	0.0298	0.0176	1.0596	-0.3052	0.0000	-0.0610	1.1646	-1.5710	77.3492	30.8900	802	179	-8 
0x50	11:45:51.957	0.0298	0.0190	1.0571	0.3052	0.0610	-0.0610	1.1646	-1.5710	77.3492	30.9200	801	177	-9 
0x50	11:45:51.962	0.0293	0.0186	1.0610	0.4883	0.0610	-0.0610	1.1700	-1.5710	77.3492	30.9100	804	177	-9 
0x50	11:45:51.982	0.0298	0.0181	1.0581	1.5259	0.1221	-0.0610	1.1920	-1.5656	77.3547	30.9200	803	177	-10 
0x50	11:45:52.002	0.0317	0.0195	1.0586	2.2583	0.1221	0.0000	1.2305	-1.5656	77.3547	30.9100	802	176	-11 
0x50	11:45:52.022	0.0298	0.0210	1.0591	1.4038	0.0000	-0.0610	1.2634	-1.5656	77.3547	30.9100	801	176	-10 
0x50	11:45:52.042	0.0298	0.0210	1.0601	1.0376	0.0000	-0.0610	1.2854	-1.5656	77.3602	30.9200	801	177	-10 
0x50	11:45:52.062	0.0298	0.0220	1.0586	1.2817	0.0610	-0.0610	1.3074	-1.5656	77.3602	30.9000	802	178	-10 
0x50	11:45:52.082	0.0298	0.0225	1.0576	0.6714	0.0000	-0.0610	1.3239	-1.5656	77.3602	30.9200	804	179	-9 
0x50	11:45:52.102	0.0313	0.0205	1.0610	-0.2441	-0.0610	-0.0610	1.3239	-1.5656	77.3602	30.9100	806	179	-10 
0x50	11:45:52.184	0.0303	0.0215	1.0576	-0.4883	-0.0610	-0.0610	1.3129	-1.5710	77.3602	30.9200	804	180	-13 
0x50	11:45:52.184	0.0298	0.0210	1.0591	-0.4883	-0.0610	-0.1221	1.3019	-1.5710	77.3547	30.9200	802	178	-11 
0x50	11:45:52.184	0.0298	0.0195	1.0591	-0.5493	0.0000	-0.1221	1.2909	-1.5710	77.3547	30.9200	803	178	-10 
0x50	11:45:52.184	0.0298	0.0210	1.0596	-0.4272	0.0000	-0.1221	1.2744	-1.5710	77.3547	30.9200	804	176	-9 
0x50	11:45:52.201	0.0308	0.0215	1.0571	-0.2441	-0.0610	-0.0610	1.2634	-1.5765	77.3547	30.9100	803	177	-10 
0x50	11:45:52.221	0.0293	0.0200	1.0601	0.1831	0.0610	-0.0610	1.2634	-1.5765	77.3547	30.9200	802	179	-12 
