mc 0f 00000d3e 00000e1a 00000d0b 00000e9d 0497 28 00014c70 t0:0
mc 0f 00000cc5 00000e28 00000d30 00000ea6 049b 29 00014d88 t0:0
mc 0f 00000d2c 00000e24 00000d4c 00000eb9 049f 2a 00014ea0 t0:0
mc 0f 00000d02 00000e31 00000d19 00000eb5 04a3 2b 00014fb8 t0:0
mc 0f 00000d35 00000e32 00000d14 00000e8f 04a7 2c 000150d0 t0:0
mc 0f 00000d63 00000e36 00000d35 00000eab 04ab 2d 000151e8 t0:0
mc 0f 00000ce1 00000e4d 00000d43 00000e08 04af 2e 00015300 t0:0
mc 0f 00000d47 00000e3f 00000d0b 00000dcf 04b3 2f 00015418 t0:0
mc 0f 00000d30 00000e28 00000cf8 00000d76 04b7 30 00015530 t0:0
mc 0f 00000cce 00000e31 00000cf3 00000de7 04bb 31 00015648 t0:0
mc 0f 00000c8c 00000e4d 00000ce1 00000dfa 04bf 32 00015760 t0:0
mc 0f 00000c70 00000e37 00000d3f 00000ea2 04c3 33 00015878 t0:0
mc 0f 00000ca8 00000ee3 00000cc9 00000d8e 04c7 34 00015990 t0:0
mc 0f 00000c8c 00000dc1 00000c88 00000d63 04cb 35 00015aa8 t0:0
mc 0f 00000c75 00000ee3 00000c70 00000d80 04cf 36 00015bc0 t0:0
mc 0f 00000c8c 00000ee3 00000c7a 00000d7b 04d3 37 00015cd8 t0:0
mc 0f 00000c8c 00000eed 00000c88 00000d5f 04d7 38 00015df0 t0:0
mc 0f 00000c83 00000ec3 00000c7a 00000d9c 04db 39 00015f08 t0:0
mc 0f 00000c91 00000ee3 00000c6b 00000d76 04df 3a 00016020 t0:0
mc 0f 00000cc5 00000ed1 00000c91 00000d84 04e3 3b 00016138 t0:0
mc 0f 00000c9f 00000eed 00000cad 00000d5f 04e7 3c 00016250 t0:0
mc 0f 00000c67 00000eda 00000c91 00000d63 04eb 3d 00016368 t0:0
mc 0f 00000c6b 00000ec7 00000c8c 00000d92 04ef 3e 00016480 t0:0
mc 0f 00000c5d 00000ee3 00000c67 00000d7b 04f3 3f 00016598 t0:0
mc 0f 00000c59 00000ee3 00000c67 00000d6d 04f7 40 000166b0 t0:0
mc 0f 00000c91 00000f00 00000c9f 00000d7b 04fb 41 000167c8 t0:0
mc 0f 00000c70 00000ee3 00000c9f 00000d80 04ff 42 000168e0 t0:0
mc 0f 00000c83 00000ec3 00000c62 00000d63 0503 43 000169f9 t0:0
mc 0f 00000c83 00000ef2 00000c83 00000d84 0507 44 00016b11 t0:0
mc 0f 00000c7a 00000ed5 00000c7e 00000d9c 050b 45 00016c29 t0:0
mc 0f 00000c67 00000efb 00000c91 00000d84 050f 46 00016d41 t0:0
mc 0f 00000c7a 00000ed5 00000c7a 00000d7b 0513 47 00016e59 t0:0
mc 0f 00000c7a 00000ecc 00000c67 00000d63 0517 48 00016f71 t0:0
mc 0f 00000c88 00000eda 00000c83 00000d6d 051b 49 00017089 t0:0
mc 0f 00000c91 00000edf 00000c70 00000d84 051f 4a 000171a1 t0:0
mc 0f 00000ca4 00000edf 00000c75 00000d80 0523 4b 000172b9 t0:0
mc 0f 00000c67 00000ee8 00000c83 00000d6d 0527 4c 000173d1 t0:0
mc 0f 00000c5d 00000eda 00000c9a 00000d89 052b 4d 000174e9 t0:0
mc 0f 00000c62 00000eda 00000c8c 00000d97 052f 4e 00017601 t0:0
mc 0f 00000c67 00000eda 00000c75 00000da0 0533 4f 00017719 t0:0
mc 0f 00000c83 00000ecc 00000ca4 00000d89 0537 50 00017831 t0:0
mc 0f 00000c8c 00000ed5 00000cad 00000d97 053b 51 00017949 t0:0
mc 0f 00000c70 00000ec7 00000c9f 00000d84 053f 52 00017a61 t0:0
mc 0f 00000c91 00000ec7 00000c7e 00000d92 0543 53 00017b79 t0:0
mc 0f 00000c75 00000edf 00000c7a 00000d97 0547 54 00017c91 t0:0
mc 0f 00000c75 00000edf 00000c8c 00000d84 054b 55 00017da9 t0:0
mc 0f 00000c62 00000ecc 00000c6b 00000d92 054f 56 00017ec1 t0:0
mc 0f 00000ca4 00000edf 00000cb2 00000d76 0553 57 00017fd9 t0:0
mc 0f 00000c62 00000ec7 00000c91 00000d8e 0557 58 000180f1 t0:0
mc 0f 00000c9a 00000eda 00000cc0 00000d6d 055b 59 00018209 t0:0
mc 0f 00000c7a 00000ecc 00000c8c 00000d76 055f 5a 00018321 t0:0
mc 0f 00000c8c 00000eda 00000c88 00000d8e 0563 5b 00018439 t0:0
mc 0f 00000c67 00000ed5 00000c75 00000d68 0567 5c 00018551 t0:0
mc 0f 00000c5d 00000ed5 00000c7a 00000d89 056b 5d 00018669 t0:0
mc 0f 00000c6b 00000ed1 00000c75 00000d80 056f 5e 00018781 t0:0
mc 0f 00000c7a 00000eb5 00000c83 00000d6d 0573 5f 00018899 t0:0
mc 0f 00000c7e 00000e9d 00000c8c 00000d80 0577 60 000189b1 t0:0
mc 0f 00000c9f 00000eed 00000c70 00000d89 057b 61 00018ac9 t0:0
mc 0f 00000c70 00000ebe 00000c8c 00000d6d 057f 62 00018be1 t0:0
mc 0f 00000c88 00000ec7 00000c70 00000d8e 0583 63 00018cf9 t0:0
mc 0f 00000c70 00000ed1 00000c70 00000d8e 0587 64 00018e11 t0:0
mc 0f 00000c3d 00000ec3 00000c75 00000d80 058b 65 00018f29 t0:0
mc 0f 00000c96 00000ed1 00000c91 00000d9c 058f 66 00019041 t0:0
mc 0f 00000c70 00000eb0 00000c75 00000d9c 0593 67 00019159 t0:0
mc 0f 00000ca8 00000ed1 00000c88 00000d84 0597 68 00019271 t0:0
mc 0f 00000c8c 00000ea6 00000c75 00000d92 059b 69 00019389 t0:0
mc 0f 00000c62 00000ed1 00000c88 00000d68 059f 6a 000194a1 t0:0
mc 0f 00000c9a 00000ea6 00000ca4 00000d68 05a3 6b 000195b9 t0:0
mc 0f 00000c75 00000ebe 00000c9f 00000d92 05a7 6c 000196d1 t0:0
mc 0f 00000c3d 00000eb5 00000c83 00000d68 05ab 6d 000197e9 t0:0
mc 0f 00000c96 00000ec3 00000c7a 00000d76 05af 6e 00019901 t0:0
mc 0f 00000c6b 00000eb0 00000c8c 00000d89 05b3 6f 00019a19 t0:0
mc 0f 00000c9a 00000ecc 00000c83 00000d97 05b7 70 00019b31 t0:0
mc 0f 00000c6b 00000ecc 00000c88 00000d80 05bb 71 00019c49 t0:0
mc 0f 00000c8c 00000ed5 00000c5d 00000d92 05bf 72 00019d61 t0:0
mc 0f 00000c4b 00000ecc 00000c7e 00000d92 05c3 73 00019e79 t0:0
mc 0f 00000cad 00000ecc 00000c67 00000da5 05c7 74 00019f91 t0:0
mc 0f 00000c9a 00000ed1 00000c6b 00000d63 05cb 75 0001a0a9 t0:0
mc 0f 00000c96 00000eb5 00000c7e 00000d7b 05cf 76 0001a1c1 t0:0
mc 0f 00000c5d 00000eb0 00000c96 00000d84 05d3 77 0001a2d9 t0:0
mc 0f 00000c9a 00000ecc 00000c8c 00000d5f 05d7 78 0001a3f1 t0:0
mc 0f 00000c7a 00000ebe 00000c91 00000d8e 05db 79 0001a509 t0:0
mc 0f 00000c91 00000eb9 00000c75 00000d8e 05df 7a 0001a621 t0:0
mc 0f 00000c62 00000ed1 00000c83 00000d80 05e3 7b 0001a739 t0:0
mc 0f 00000c62 00000ec7 00000c70 00000d84 05e7 7c 0001a851 t0:0
mc 0f 00000c91 00000eb0 00000c96 00000d80 05eb 7d 0001a969 t0:0
mc 0f 00000c67 00000edf 00000c75 00000d84 05ef 7e 0001aa81 t0:0
mc 0f 00000ca4 00000ec7 00000c75 00000d84 05f3 7f 0001ab99 t0:0
mc 0f 00000c9a 00000ed5 00000c8c 00000d5a 05f7 80 0001acb1 t0:0
mc 0f 00000ca4 00000e9d 00000c83 00000d6d 05fb 81 0001adc9 t0:0
mc 0f 00000c70 00000eb0 00000c88 00000d80 05ff 82 0001aee1 t0:0
mc 0f 00000c8c 00000eb5 00000c7e 00000d92 0603 83 0001aff9 t0:0
mc 0f 00000c59 00000ebe 00000c6b 00000da0 0607 84 0001b111 t0:0
mc 0f 00000c91 00000e98 00000c7a 00000d5f 060b 85 0001b229 t0:0
mc 0f 00000c75 00000ec3 00000c7a 00000d92 060f 86 0001b341 t0:0
mc 0f 00000c7e 00000eb0 00000c75 00000d8e 0613 87 0001b459 t0:0
mc 0f 00000c41 00000eab 00000c6b 00000d63 0617 88 0001b571 t0:0
mc 0f 00000c9f 00000eb5 00000c88 00000da5 061b 89 0001b689 t0:0
mc 0f 00000c88 00000eb9 00000c83 00000d80 061f 8a 0001b7a1 t0:0
mc 0f 00000c7e 00000eb9 00000c96 00000d63 0623 8b 0001b8b9 t0:0
mc 0f 00000c8c 00000e9d 00000c70 00000d80 0627 8c 0001b9d1 t0:0
mc 0f 00000c9f 00000eb5 00000c7e 00000d76 062b 8d 0001bae9 t0:0
mc 0f 00000c7e 00000eb0 00000c8c 00000d7b 062f 8e 0001bc01 t0:0
mc 0f 00000ca4 00000eab 00000cb7 00000d84 0633 8f 0001bd19 t0:0
mc 0f 00000c67 00000eab 00000c96 00000d97 0637 90 0001be31 t0:0
mc 0f 00000c5d 00000eb9 00000c70 00000d92 063b 91 0001bf49 t0:0
mc 0f 00000c75 00000ebe 00000c88 00000d84 063f 92 0001c061 t0:0
mc 0f 00000c4f 00000ebe 00000c70 00000d72 0643 93 0001c179 t0:0
mc 0f 00000c59 00000eb9 00000c83 00000d63 0647 94 0001c291 t0:0
mc 0f 00000c8c 00000ed1 00000c96 00000d80 064b 95 0001c3a9 t0:0
mc 0f 00000ca8 00000ec3 00000c7a 00000d92 064f 96 0001c4c1 t0:0
mc 0f 00000cb7 00000e9d 00000c88 00000d6d 0653 97 0001c5d9 t0:0
mc 0f 00000cad 00000ec7 00000c62 00000d84 0657 98 0001c6f1 t0:0
mc 0f 00000c9f 00000ebe 00000c67 00000d8e 065b 99 0001c809 t0:0
mc 0f 00000c7a 00000eb5 00000c70 00000d68 065f 9a 0001c921 t0:0
mc 0f 00000c70 00000ec3 00000c7e 00000d84 0663 9b 0001ca39 t0:0
mc 0f 00000c88 00000e9d 00000c7a 00000d92 0667 9c 0001cb51 t0:0
mc 0f 00000c91 00000edf 00000c70 00000d76 066b 9d 0001cc69 t0:0
mc 0f 00000c8c 00000eb5 00000c8c 00000d72 066f 9e 0001cd81 t0:0
mc 0f 00000c62 00000eb5 00000c7e 00000d80 0673 9f 0001ce99 t0:0
mc 0f 00000c9f 00000ec3 00000c54 00000d7b 0677 a0 0001cfb1 t0:0
mc 0f 00000c70 00000ed5 00000c83 00000d84 067b a1 0001d0c9 t0:0
mc 0f 00000c5d 00000ed5 00000c54 00000d76 067f a2 0001d1e1 t0:0
