StartTime: 2018-11-29 21:44:00.762
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
111.236	-0.0620	0.0181	1.0010	-0.0610	1.5259	-0.5493	-0.8899	6.1414	80.0299	39.9500	192	25	-284 
111.252	-0.0742	0.0112	1.0195	-0.6104	2.8687	-1.5869	-0.8844	6.1633	80.0189	39.9500	194	26	-285 
111.268	-0.0884	0.0112	1.0405	-1.1597	2.5024	-2.0752	-0.8899	6.1963	79.9860	39.9400	193	26	-285 
111.283	-0.0879	0.0254	1.0444	-0.9155	0.9766	-2.1362	-0.8899	6.2073	79.9255	39.9600	192	26	-286 
111.299	-0.0830	0.0386	1.0283	-1.0986	-0.3662	-1.8921	-0.8844	6.1908	79.8651	39.9500	191	27	-285 
111.315	-0.0664	0.0454	1.0059	-1.2817	0.1221	0.0000	-0.8679	6.1633	79.8157	39.9300	191	27	-286 
111.330	-0.0562	0.0273	1.0015	-1.6479	1.0376	0.7324	-0.8624	6.1414	79.7992	39.9300	192	29	-286 
111.361	-0.0508	0.0127	0.9902	-2.8687	1.5869	0.3052	-0.8844	6.1304	79.8047	39.9400	193	28	-284 
111.377	-0.0522	0.0073	0.9868	-3.1738	2.5024	0.0000	-0.9283	6.1414	79.8102	39.9500	193	28	-281 
111.393	-0.0601	-0.0103	1.0015	-2.1973	3.7842	-0.6714	-0.9723	6.1688	79.8322	39.9300	194	26	-280 
111.455	-0.0708	-0.0068	1.0137	-2.8687	4.2725	-1.4648	-1.0217	6.2238	79.8322	39.9400	194	26	-280 
111.471	-0.0859	-0.0010	1.0278	-2.4414	4.4556	-1.8921	-1.0712	6.2897	79.8157	39.9400	191	27	-280 
111.471	-0.0908	0.0034	1.0298	-1.6479	4.2114	-1.5259	-1.0986	6.3556	79.7882	39.9400	191	28	-279 
111.471	-0.0947	0.0020	1.0342	-0.7324	3.4790	-1.2817	-1.1096	6.4215	79.7607	39.9400	192	30	-278 
111.486	-0.0967	0.0171	1.0381	-0.6714	2.9297	-1.4648	-1.1041	6.4655	79.7168	39.9500	193	31	-280 
111.518	-0.1011	0.0127	1.0444	0.1831	1.8311	-0.5493	-1.0876	6.4984	79.6783	39.9400	194	30	-281 
111.533	-0.0981	0.0059	1.0454	0.1831	0.7324	-0.4883	-1.0657	6.5094	79.6674	39.9300	195	28	-283 
111.549	-0.0986	0.0210	1.0410	0.9155	-0.3662	-0.3052	-1.0327	6.4929	79.6399	39.9600	195	29	-282 
111.568	-0.0918	0.0186	1.0371	1.6479	-1.2207	0.1831	-0.9833	6.4600	79.6289	39.9600	193	29	-280 
111.583	-0.0776	0.0176	1.0195	1.4648	-1.9531	0.3052	-0.9283	6.4050	79.6344	39.9300	194	27	-280 
111.645	-0.0723	0.0156	1.0059	1.4038	-1.0376	0.8545	-0.8734	6.3501	79.6509	39.9500	195	26	-281 
111.645	-0.0718	-0.0068	1.0200	-0.3052	-0.7935	-0.4883	-0.8569	6.3062	79.6893	39.9500	195	26	-283 
111.661	-0.0679	0.0112	1.0161	-0.3052	-1.5869	-1.7090	-0.8514	6.2567	79.6783	39.9500	194	26	-282 
111.677	-0.0557	0.0386	0.9917	-0.7324	-1.4038	-2.5024	-0.8350	6.1853	79.6344	39.9300	194	26	-284 
111.692	-0.0493	0.0439	0.9761	-1.1597	-0.1831	-2.1973	-0.8185	6.1359	79.5685	39.9500	194	26	-285 
111.708	-0.0591	0.0220	1.0103	-1.7090	1.5869	-2.2583	-0.8185	6.1194	79.5245	39.9700	193	26	-285 
111.739	-0.0669	0.0239	1.0225	-3.8452	1.1597	-3.6621	-0.8624	6.1139	79.4586	39.9500	192	27	-284 
111.755	-0.0640	0.0371	1.0034	-4.9438	0.8545	-4.0894	-0.9338	6.1029	79.3707	39.9500	194	26	-284 
111.770	-0.0605	0.0391	0.9980	-4.0894	1.8921	-1.9531	-0.9888	6.0974	79.2993	39.9500	193	26	-286 
111.802	-0.0625	0.0068	1.0098	-3.8452	3.7842	0.6104	-1.0382	6.1304	79.2938	39.9600	193	28	-286 
111.848	-0.0728	-0.0220	1.0254	-3.4790	4.2725	0.4272	-1.1041	6.1853	79.3378	39.9500	194	28	-285 
111.864	-0.0859	-0.0371	1.0356	-1.7700	3.1738	-1.0986	-1.1646	6.2402	79.3872	39.9500	192	28	-283 
111.864	-0.0845	-0.0234	1.0303	-1.0376	2.3193	-2.1362	-1.2030	6.2732	79.3927	39.9600	192	29	-283 
111.880	-0.0786	0.0127	1.0269	0.5493	1.8311	-2.1973	-1.1975	6.2897	79.3542	39.9500	194	29	-283 
111.895	-0.0776	0.0361	1.0181	0.4883	1.7090	-1.7090	-1.1591	6.3007	79.2938	39.9600	195	31	-282 
111.911	-0.0815	0.0347	1.0186	0.1221	2.5024	-0.3052	-1.1151	6.3171	79.2499	39.9400	196	29	-283 
111.927	-0.0835	0.0288	1.0215	0.0000	2.3804	0.0000	-1.0822	6.3501	79.2389	39.9400	195	27	-283 
111.958	-0.0820	0.0205	1.0220	-0.3662	2.1973	0.1221	-1.0602	6.3721	79.2334	39.9600	195	27	-282 
111.973	-0.0771	0.0176	1.0195	-0.5493	1.8311	0.0000	-1.0437	6.3885	79.2334	39.9500	195	28	-282 
111.989	-0.0728	0.0181	1.0059	-0.8545	2.0142	0.0610	-1.0327	6.3995	79.2334	39.9500	193	28	-283 
112.005	-0.0752	0.0186	1.0088	-1.2817	2.5635	0.0610	-1.0272	6.4160	79.2224	39.9600	195	31	-283 
112.083	-0.0747	0.0146	1.0107	-1.0986	2.9907	0.7324	-1.0272	6.4435	79.2169	39.9500	195	32	-284 
112.098	-0.0781	0.0078	1.0190	-1.4648	3.1128	0.7935	-1.0272	6.4819	79.2279	39.9600	197	30	-284 
112.098	-0.0806	0.0088	1.0215	-1.3428	2.6855	0.0000	-1.0437	6.5149	79.2334	39.9500	195	30	-282 
112.098	-0.0854	0.0093	1.0234	-1.0986	2.6245	-0.1221	-1.0437	6.5424	79.2334	39.9600	194	29	-284 
112.114	-0.0889	0.0122	1.0234	-2.6855	2.3804	-0.4883	-1.0657	6.5698	79.2224	39.9700	192	29	-285 
112.130	-0.0903	0.0005	1.0259	-2.0752	2.5024	0.0610	-1.0931	6.6028	79.2169	39.9700	192	32	-285 
112.145	-0.0918	0.0034	1.0308	-0.7324	1.6479	0.5493	-1.1096	6.6193	79.2169	39.9500	193	32	-284 
112.177	-0.0923	0.0049	1.0366	-0.7935	1.2817	0.0610	-1.1096	6.6302	79.2224	39.9700	194	31	-284 
112.192	-0.0908	0.0225	1.0254	0.2441	0.5493	0.5493	-1.0876	6.6302	79.2114	39.9700	194	31	-284 
112.223	-0.0894	0.0215	1.0313	-0.3052	0.6104	0.6714	-1.0602	6.6193	79.2114	39.9600	195	29	-284 
112.238	-0.0811	0.0303	1.0239	-1.2207	-0.6104	0.1831	-1.0492	6.5973	79.2004	39.9500	195	30	-283 
112.254	-0.0693	0.0322	1.0024	-0.8545	-0.4883	0.7324	-1.0382	6.5588	79.1949	39.9600	194	30	-283 
112.270	-0.0630	0.0142	0.9888	-0.7935	0.9766	1.8921	-1.0162	6.5259	79.2114	39.9600	194	30	-284 
112.285	-0.0654	-0.0015	1.0020	-1.8921	2.0752	1.4648	-1.0217	6.5259	79.2609	39.9600	195	28	-282 
112.317	-0.0723	0.0020	1.0059	-2.3193	2.4414	0.3052	-1.0547	6.5424	79.3048	39.9700	197	26	-283 
112.332	-0.0806	-0.0098	1.0186	-1.7700	2.8076	0.2441	-1.0876	6.5643	79.3378	39.9500	196	27	-283 
112.348	-0.0913	0.0015	1.0298	-1.3428	2.4414	-0.6714	-1.1041	6.5973	79.3488	39.9700	197	29	-285 
112.363	-0.0972	0.0127	1.0391	-1.2207	1.9531	-0.5493	-1.1096	6.6248	79.3323	39.9600	196	30	-284 
112.395	-0.0962	0.0205	1.0366	-1.4648	0.7935	-0.4272	-1.1096	6.6357	79.3158	39.9600	196	29	-286 
112.457	-0.0942	0.0347	1.0313	-0.9155	0.1221	-0.1221	-1.1096	6.6248	79.2883	39.9700	196	30	-285 
112.473	-0.0903	0.0234	1.0293	0.7935	0.0000	1.5869	-1.0657	6.6083	79.2828	39.9700	195	30	-284 
112.473	-0.0796	0.0205	1.0171	0.1221	-0.3052	1.2817	-1.0272	6.5863	79.2993	39.9500	192	30	-285 
112.473	-0.0742	0.0137	1.0098	-0.7324	-0.2441	1.8311	-1.0107	6.5533	79.3213	39.9400	193	29	-286 
112.488	-0.0752	-0.0024	1.0176	-0.8545	0.0000	1.8311	-0.9998	6.5204	79.3652	39.9500	194	30	-286 
112.504	-0.0698	-0.0010	1.0078	-1.8311	0.1221	1.2207	-1.0217	6.4929	79.4037	39.9400	195	30	-285 
112.535	-0.0732	-0.0107	1.0171	-0.7935	0.7324	1.3428	-1.0382	6.4764	79.4476	39.9600	198	30	-285 
112.551	-0.0723	0.0073	1.0146	-1.3428	0.0610	-0.7324	-1.0492	6.4545	79.4696	39.9700	195	29	-285 
112.567	-0.0742	0.0132	1.0127	-0.5493	0.7324	-0.4272	-1.0492	6.4325	79.4641	39.9600	195	28	-286 
112.645	-0.0771	0.0171	1.0146	-0.6104	0.8545	-0.4883	-1.0327	6.4270	79.4531	39.9700	196	31	-285 
112.660	-0.0771	0.0254	1.0117	-0.9766	1.4038	-0.0610	-1.0217	6.4215	79.4202	39.9800	194	33	-285 
112.660	-0.0815	0.0181	1.0254	-1.2207	1.5259	0.2441	-1.0217	6.4270	79.4037	39.9700	195	33	-288 
112.660	-0.0850	0.0225	1.0273	-1.2817	0.4883	0.5493	-1.0217	6.4215	79.3762	39.9500	192	33	-287 
112.676	-0.0854	0.0142	1.0278	-0.1221	0.4272	1.1597	-1.0052	6.4105	79.3817	39.9400	195	31	-285 
112.692	-0.0801	0.0103	1.0220	-1.3428	-0.3662	0.6104	-1.0052	6.3885	79.3982	39.9500	196	30	-286 
112.707	-0.0767	0.0039	1.0161	-1.0986	-0.2441	0.5493	-1.0107	6.3556	79.4147	39.9700	196	30	-285 
112.738	-0.0728	0.0029	1.0151	-0.4883	-0.2441	0.1221	-1.0107	6.3281	79.4312	39.9500	194	30	-283 
