StartTime: 2018-11-30 16:04:40.087
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
95.156	0.1133	-0.2021	0.9937	-0.3052	0.2441	-0.3662	-11.4368	-6.6467	69.0491	37.7700	135	133	-322 
95.178	0.1162	-0.2051	0.9941	0.0000	0.0000	-0.3052	-11.4368	-6.6467	69.0436	37.7800	137	134	-324 
95.187	0.1147	-0.2031	0.9922	0.0000	0.1831	-0.4272	-11.4368	-6.6412	69.0326	37.7900	136	136	-324 
95.206	0.1143	-0.2041	0.9946	-0.1221	0.2441	-0.2441	-11.4423	-6.6357	69.0216	37.7900	134	135	-324 
95.226	0.1152	-0.1982	0.9980	-0.3662	0.3662	-0.3052	-11.4478	-6.6302	69.0051	37.7900	133	136	-323 
95.246	0.1147	-0.2031	0.9922	-0.4883	0.1831	0.1831	-11.4532	-6.6193	68.9996	37.7900	134	134	-323 
95.266	0.1147	-0.2139	0.9995	-0.2441	0.7324	0.1831	-11.4642	-6.6083	69.0051	37.7900	134	133	-323 
95.286	0.1138	-0.2002	0.9937	0.0000	-0.0610	-0.5493	-11.4697	-6.6028	68.9941	37.7900	133	134	-324 
95.306	0.1147	-0.2021	0.9961	0.0610	-0.0610	-0.3662	-11.4642	-6.6028	68.9886	37.7900	135	132	-324 
95.332	0.1133	-0.2026	0.9956	-0.2441	0.3662	-0.1831	-11.4697	-6.5973	68.9941	37.7800	135	134	-325 
95.346	0.1167	-0.2031	0.9961	-0.4272	0.1221	-0.3052	-11.4752	-6.5918	68.9886	37.7800	135	133	-325 
95.366	0.1147	-0.2031	0.9956	-0.3052	0.4272	0.0000	-11.4862	-6.5863	68.9941	37.7900	135	131	-323 
95.386	0.1138	-0.2070	0.9927	-0.0610	0.5493	0.1221	-11.4917	-6.5753	68.9996	37.8000	136	133	-322 
95.406	0.1138	-0.2041	0.9985	-0.1221	0.4272	0.0000	-11.4917	-6.5588	69.0051	37.7700	136	133	-322 
95.427	0.1123	-0.2065	0.9966	0.0000	-0.1831	-0.1831	-11.4972	-6.5588	69.0161	37.7900	137	131	-321 
95.447	0.1128	-0.2051	0.9995	-0.3052	0.0000	-0.1221	-11.5027	-6.5533	69.0161	37.7900	134	132	-321 
95.467	0.1123	-0.2056	0.9976	-0.7324	0.3052	0.3662	-11.5137	-6.5479	69.0216	37.8100	136	132	-321 
95.507	0.1123	-0.2148	0.9956	-0.1831	0.3052	0.1831	-11.5302	-6.5369	69.0436	37.7900	136	131	-321 
95.509	0.1143	-0.2021	0.9966	0.3662	0.1831	-0.6104	-11.5247	-6.5369	69.0436	37.7900	137	132	-320 
95.526	0.1143	-0.2012	0.9946	-0.3052	0.3052	-0.0610	-11.5302	-6.5314	69.0381	37.7900	135	132	-321 
95.546	0.1133	-0.2095	1.0015	-0.6104	0.5493	0.3052	-11.5356	-6.5149	69.0436	37.7800	136	132	-322 
95.566	0.1133	-0.2109	0.9912	-0.8545	-0.0610	0.0000	-11.5576	-6.5094	69.0601	37.8000	137	132	-323 
95.586	0.1133	-0.2056	0.9971	-0.6714	-0.1831	-0.5493	-11.5741	-6.5094	69.0656	37.8100	139	134	-323 
95.606	0.1118	-0.2007	1.0010	-1.0376	0.1221	-0.1831	-11.5906	-6.5094	69.0491	37.8100	137	134	-324 
95.626	0.1118	-0.2065	0.9941	-1.1597	-0.1221	0.1221	-11.6125	-6.5094	69.0546	37.7900	136	133	-323 
95.646	0.1123	-0.2085	0.9907	-0.8545	-0.1831	0.0610	-11.6345	-6.5094	69.0601	37.7900	136	134	-322 
95.666	0.1143	-0.2104	0.9961	0.2441	0.0000	-0.4272	-11.6400	-6.5039	69.0656	37.8000	137	135	-322 
95.686	0.1143	-0.2065	0.9946	0.7324	-0.1221	-0.4272	-11.6290	-6.5094	69.0546	37.7900	137	136	-322 
95.706	0.1128	-0.2046	1.0005	0.1831	0.4883	0.0000	-11.6180	-6.5039	69.0491	37.8100	136	134	-324 
95.731	0.1118	-0.2056	1.0015	-0.1221	0.2441	0.1831	-11.6180	-6.4929	69.0546	37.7900	136	134	-324 
95.745	0.1138	-0.2114	0.9937	0.3662	-0.2441	-0.1221	-11.6180	-6.4984	69.0656	37.8000	135	131	-324 
95.765	0.1128	-0.2134	0.9956	0.1831	0.0000	-0.2441	-11.6180	-6.4984	69.0710	37.7900	136	135	-326 
95.785	0.1123	-0.2070	0.9971	0.5493	0.0610	-0.6714	-11.6071	-6.4984	69.0710	37.8100	136	135	-325 
95.805	0.1108	-0.2041	0.9941	0.4883	0.0000	-0.6104	-11.5961	-6.4984	69.0491	37.8000	135	136	-325 
95.825	0.1133	-0.2041	0.9990	0.0610	0.0000	-0.4272	-11.5906	-6.4984	69.0271	37.8200	135	136	-323 
95.845	0.1133	-0.2041	0.9951	-0.3052	-0.0610	0.0000	-11.5906	-6.4984	69.0271	37.8000	136	133	-320 
95.865	0.1123	-0.2119	0.9858	-0.1831	-0.1831	0.0610	-11.6016	-6.5039	69.0381	37.7900	136	134	-324 
95.906	0.1108	-0.2109	0.9878	0.0610	0.0000	-0.2441	-11.6071	-6.4984	69.0436	37.8000	137	135	-324 
95.908	0.1113	-0.2012	1.0024	0.0000	0.4272	-0.5493	-11.6016	-6.4929	69.0271	37.8100	136	136	-324 
95.925	0.1113	-0.2026	0.9912	0.0000	0.0000	-0.4272	-11.6016	-6.4929	69.0106	37.8000	135	135	-324 
95.945	0.1128	-0.2104	0.9961	0.0000	0.0000	-0.2441	-11.6016	-6.4874	69.0106	37.7900	134	133	-323 
95.965	0.1123	-0.2075	0.9893	0.4272	0.0000	-0.6104	-11.6016	-6.4874	69.0106	37.7900	136	133	-321 
95.985	0.1128	-0.2061	1.0024	0.2441	0.1831	-0.6104	-11.5906	-6.4819	69.0051	37.7900	137	133	-321 
96.004	0.1128	-0.2036	0.9985	0.1831	0.3662	-0.3662	-11.5851	-6.4764	68.9941	37.8000	136	134	-322 
96.024	0.1143	-0.2041	0.9932	-0.2441	0.0000	0.0000	-11.5851	-6.4764	68.9886	37.8000	135	134	-321 
96.044	0.1143	-0.2148	0.9985	0.1221	0.0610	0.0000	-11.5906	-6.4764	68.9941	37.8100	134	134	-321 
96.064	0.1133	-0.2065	0.9907	0.4883	0.0000	-0.4883	-11.5906	-6.4764	68.9886	37.7900	135	134	-320 
96.084	0.1118	-0.1982	0.9951	0.3052	0.0000	-0.4883	-11.5796	-6.4709	68.9722	37.8100	135	135	-321 
96.104	0.1123	-0.2080	0.9937	0.0000	0.1831	-0.0610	-11.5741	-6.4655	68.9667	37.7900	135	134	-319 
96.132	0.1123	-0.2051	0.9951	-0.0610	-0.0610	-0.1831	-11.5796	-6.4655	68.9667	37.8100	135	131	-321 
96.144	0.1113	-0.2051	0.9922	0.1831	0.0000	-0.1221	-11.5796	-6.4600	68.9832	37.8100	137	130	-322 
96.164	0.1133	-0.2095	0.9990	0.2441	0.2441	0.0000	-11.5741	-6.4600	68.9941	37.8000	136	133	-321 
96.184	0.1118	-0.2065	0.9985	0.2441	0.0000	-0.1221	-11.5741	-6.4545	68.9886	37.8000	135	134	-321 
96.204	0.1108	-0.2095	0.9976	0.0000	-0.0610	-0.2441	-11.5741	-6.4545	68.9886	37.8000	134	132	-323 
96.224	0.1118	-0.2056	1.0005	-0.1221	0.3052	-0.1221	-11.5741	-6.4490	68.9886	37.8000	135	133	-322 
96.244	0.1104	-0.2036	0.9932	-0.4883	-0.0610	0.0000	-11.5796	-6.4490	68.9832	37.8000	137	136	-325 
96.264	0.1104	-0.2090	0.9951	0.3052	0.1221	-0.4883	-11.5851	-6.4435	68.9832	37.7900	135	135	-324 
96.283	0.1108	-0.2085	0.9990	0.3052	-0.0610	-0.5493	-11.5796	-6.4435	68.9777	37.8000	136	134	-323 
