StartTime: 2018-11-10 21:39:26.262
Time(s)	ax(g)	ay(g)	az(g) 
833.528	0.4019	-0.8359	0.5229 
833.543	0.3853	-0.8281	0.5132 
833.559	0.3696	-0.8281	0.5000 
833.590	0.3501	-0.8442	0.4888 
833.606	0.3579	-0.8540	0.4878 
833.637	0.3970	-0.8350	0.4966 
833.715	0.4043	-0.8188	0.4980 
833.746	0.3828	-0.8540	0.4863 
833.746	0.3789	-0.8643	0.4761 
833.746	0.3770	-0.8584	0.4512 
833.746	0.3833	-0.8594	0.4443 
833.762	0.3696	-0.8979	0.4307 
833.777	0.3608	-0.8867	0.4214 
833.793	0.3516	-0.8730	0.3984 
833.809	0.3706	-0.8794	0.4063 
833.824	0.4014	-0.8892	0.4092 
833.903	0.3906	-0.9043	0.3994 
833.918	0.3677	-0.9380	0.3979 
833.918	0.3760	-0.9536	0.4033 
833.918	0.3999	-0.9448	0.3965 
833.934	0.3857	-0.9399	0.3789 
833.949	0.3555	-0.9365	0.3604 
833.965	0.3579	-0.9272	0.3623 
834.028	0.4048	-0.8730	0.3682 
834.043	0.3970	-0.8726	0.3521 
834.074	0.4185	-0.8823	0.3579 
834.153	0.4243	-0.8857	0.3550 
834.168	0.4272	-0.9009	0.3496 
834.168	0.4233	-0.8989	0.3413 
834.168	0.4087	-0.9014	0.3125 
834.168	0.4233	-0.8853	0.3154 
834.215	0.4570	-0.9385	0.3721 
834.231	0.4312	-0.9263	0.3594 
834.262	0.4351	-0.8872	0.3647 
834.309	0.4609	-0.8501	0.3682 
834.324	0.4805	-0.8306	0.3740 
834.324	0.4995	-0.8335	0.3853 
834.340	0.4888	-0.8447	0.4009 
834.356	0.4800	-0.8535	0.4072 
834.387	0.4785	-0.8506	0.4160 
834.403	0.4775	-0.8335	0.4233 
834.418	0.4536	-0.8418	0.4404 
834.465	0.4521	-0.8584	0.4526 
834.481	0.4663	-0.8584	0.4746 
834.528	0.4468	-0.8438	0.4736 
834.559	0.3901	-0.8599	0.4751 
834.559	0.3345	-0.8506	0.4893 
834.559	0.3315	-0.7739	0.4966 
834.574	0.3306	-0.7285	0.4902 
834.590	0.3506	-0.7192	0.5034 
834.606	0.3452	-0.7954	0.5239 
834.621	0.3252	-0.9468	0.5835 
834.637	0.3062	-0.9863	0.6025 
834.684	0.2983	-0.9453	0.5522 
834.715	0.3340	-0.8950	0.5249 
834.715	0.3682	-0.8442	0.5103 
834.731	0.3628	-0.7925	0.4985 
834.746	0.3477	-0.7759	0.4937 
834.762	0.3208	-0.7842	0.4985 
834.793	0.3169	-0.7905	0.5015 
834.809	0.3496	-0.7739	0.5190 
834.824	0.3662	-0.7603	0.5449 
834.840	0.3857	-0.7549	0.5581 
834.856	0.3589	-0.7969	0.5503 
834.934	0.3252	-0.8511	0.5410 
834.949	0.3486	-0.8560	0.5439 
834.949	0.3662	-0.8384	0.5591 
834.949	0.3408	-0.8599	0.5596 
834.981	0.2749	-0.9077	0.5605 
834.981	0.2329	-0.9419	0.5498 
834.996	0.2339	-0.9561	0.5283 
835.028	0.2671	-0.9453	0.5264 
835.043	0.3169	-0.9365	0.5469 
835.121	0.3281	-0.9165	0.5522 
835.137	0.3237	-0.9639	0.5562 
835.137	0.3145	-1.0083	0.5718 
835.137	0.3037	-1.0215	0.5928 
835.153	0.3315	-0.9946	0.6108 
835.168	0.3599	-0.9316	0.5684 
835.184	0.3818	-0.8687	0.5010 
835.199	0.4668	-0.7280	0.3887 
835.231	0.4990	-0.7725	0.3340 
835.231	0.5464	-0.8438	0.3560 
835.262	0.6035	-0.8389	0.3760 
835.278	0.6406	-0.8481	0.3901 
835.293	0.6411	-0.8491	0.4048 
835.371	0.5752	-0.8550	0.3892 
835.387	0.5269	-0.8555	0.3926 
835.387	0.4951	-0.8345	0.3667 
835.387	0.5142	-0.8428	0.3545 
835.387	0.4785	-0.8145	0.2891 
835.418	0.4424	-0.7881	0.2476 
835.449	0.4360	-0.7588	0.2251 
835.481	0.4546	-0.7886	0.2334 
835.481	0.4819	-0.8159	0.2549 
835.543	0.4790	-0.7979	0.2544 
835.543	0.4834	-0.8066	0.2607 
835.574	0.4849	-0.8369	0.2729 
835.574	0.4233	-0.8652	0.2554 
835.590	0.3804	-0.8813	0.2412 
835.606	0.3643	-0.8916	0.2329 
835.637	0.3882	-0.8872	0.2339 
835.653	0.3984	-0.8833	0.2554 
835.699	0.3813	-0.9028	0.2583 
835.715	0.3447	-0.9204	0.2559 
835.715	0.3154	-0.9263	0.2544 
835.731	0.3335	-0.9155	0.2627 
835.746	0.3896	-0.8999	0.2852 
835.746	0.4019	-0.9370	0.3179 
835.793	0.3765	-0.9927	0.3276 
835.793	0.3232	-1.0449	0.3276 
835.809	0.3032	-1.0518	0.3223 
835.840	0.3364	-1.0347	0.3237 
835.856	0.3677	-1.0283	0.3447 
835.871	0.4067	-1.0439	0.3896 
835.949	0.4780	-1.0093	0.5205 
835.965	0.4556	-0.9561	0.4946 
835.981	0.4238	-0.8916	0.4355 
835.996	0.4175	-0.8672	0.4185 
836.012	0.3843	-0.8594	0.4863 
836.028	0.3638	-0.8096	0.5103 
836.059	0.3765	-0.7290	0.5439 
836.074	0.4692	-0.7280	0.5977 
836.090	0.6035	-0.7695	0.6826 
836.168	0.6104	-0.8174	0.6680 
836.184	0.4780	-0.8379	0.5576 
836.184	0.3784	-0.8052	0.4741 
836.184	0.2993	-0.7563	0.3774 
836.199	0.3081	-0.7280	0.3579 
836.215	0.3467	-0.7183	0.3862 
836.246	0.3574	-0.7231	0.3877 
836.293	0.3672	-0.7104	0.3936 
836.293	0.3882	-0.6987	0.4131 
836.309	0.4297	-0.7261	0.4795 
836.324	0.4277	-0.7642	0.5259 
836.340	0.3501	-0.8159	0.5151 
836.418	0.3018	-0.8525	0.4961 
836.434	0.2891	-0.8706	0.5093 
836.434	0.3105	-0.8687	0.5327 
836.434	0.3740	-0.8711	0.5664 
836.434	0.3857	-0.8765	0.5737 
836.449	0.2744	-0.9321	0.5195 
836.465	0.1597	-0.9761	0.4785 
836.528	0.1865	-0.9067	0.4702 
836.543	0.3120	-0.8682	0.5029 
836.543	0.4839	-1.0464	0.5942 
836.559	0.4087	-1.1055	0.6157 
836.574	0.3843	-0.9922	0.4507 
836.590	0.4121	-0.9526	0.3892 
