StartTime: 2018-11-11 20:28:49.928
Time(s)	ax(g)	ay(g)	az(g) 
434.649	0.3667	-0.6118	0.7148 
434.649	0.3564	-0.6323	0.7271 
434.665	0.3564	-0.6406	0.7393 
434.680	0.3745	-0.6182	0.7422 
434.696	0.3726	-0.6006	0.7334 
434.727	0.3628	-0.5972	0.7246 
434.743	0.3462	-0.6133	0.7227 
434.837	0.3398	-0.6230	0.7422 
434.868	0.3418	-0.6211	0.7363 
434.868	0.3418	-0.6265	0.7412 
434.868	0.3447	-0.6235	0.7383 
434.868	0.3398	-0.6245	0.7173 
434.868	0.3306	-0.6284	0.7246 
434.883	0.3291	-0.6382	0.7285 
434.899	0.3369	-0.6406	0.7271 
434.930	0.3433	-0.6455	0.7285 
434.962	0.3477	-0.6484	0.7178 
435.071	0.3535	-0.6494	0.7026 
435.102	0.3687	-0.6504	0.6997 
435.102	0.3677	-0.6582	0.6787 
435.102	0.3623	-0.6646	0.6748 
435.102	0.3716	-0.6792	0.6875 
435.102	0.3896	-0.6694	0.6660 
435.102	0.4014	-0.6899	0.6641 
435.118	0.4146	-0.7061	0.6929 
435.133	0.4263	-0.7017	0.6860 
435.149	0.4204	-0.6929	0.6538 
435.180	0.4233	-0.6870	0.6348 
435.290	0.4336	-0.6948	0.6421 
435.305	0.4092	-0.7119	0.6401 
435.305	0.3926	-0.7148	0.6431 
435.305	0.3760	-0.7114	0.6333 
435.305	0.3623	-0.7061	0.6260 
435.305	0.3721	-0.6890	0.6226 
435.305	0.3716	-0.6914	0.6182 
435.321	0.3486	-0.7178	0.6079 
435.337	0.3452	-0.7192	0.6123 
435.368	0.3628	-0.7056	0.5918 
435.399	0.3862	-0.6885	0.6021 
435.477	0.4165	-0.6650	0.6104 
435.477	0.4048	-0.6758	0.6001 
435.508	0.3828	-0.6948	0.5933 
435.508	0.3813	-0.7080	0.5918 
435.508	0.4072	-0.6943	0.6030 
435.508	0.4160	-0.6821	0.6025 
435.524	0.3965	-0.7002	0.5903 
435.540	0.3726	-0.7349	0.5869 
435.571	0.3486	-0.7842	0.5752 
435.696	0.3730	-0.7837	0.5752 
435.696	0.4165	-0.7559	0.5874 
435.727	0.4482	-0.7603	0.6016 
435.727	0.4312	-0.7837	0.6230 
435.727	0.4346	-0.8291	0.6440 
435.727	0.4482	-0.8271	0.6924 
435.727	0.4614	-0.7593	0.7305 
435.743	0.4766	-0.7134	0.6943 
435.743	0.4663	-0.6792	0.7026 
435.774	0.4404	-0.6689	0.7129 
435.790	0.4561	-0.6050	0.7310 
435.805	0.4751	-0.5742	0.7407 
435.821	0.4092	-0.5645	0.7720 
435.915	0.3638	-0.5664	0.8052 
435.946	0.3340	-0.5112	0.8447 
435.946	0.3594	-0.4736	0.8579 
435.946	0.4404	-0.4478	0.9141 
435.946	0.4800	-0.4766	0.9131 
435.946	0.4761	-0.5132	0.8799 
435.962	0.4253	-0.5396	0.8330 
435.977	0.3306	-0.5400	0.7412 
436.024	0.3169	-0.5371	0.7178 
436.055	0.3066	-0.5156	0.7061 
436.055	0.3135	-0.4941	0.6821 
436.071	0.3091	-0.4956	0.6802 
436.087	0.3042	-0.5171	0.6709 
436.102	0.3013	-0.5498	0.7192 
436.118	0.3218	-0.5454	0.7432 
436.133	0.3330	-0.5527	0.7271 
436.165	0.3359	-0.5596	0.7285 
436.180	0.3423	-0.5679	0.7495 
436.196	0.3535	-0.5781	0.7490 
436.305	0.3638	-0.5576	0.7578 
436.321	0.3774	-0.5381	0.7563 
436.321	0.3779	-0.5757	0.7856 
436.321	0.3413	-0.6396	0.7935 
436.321	0.2324	-0.7158	0.7705 
436.321	0.2104	-0.7266	0.7651 
436.337	0.2813	-0.6724	0.7905 
436.352	0.3491	-0.6406	0.8047 
436.383	0.4746	-0.6646	0.8687 
436.415	0.4688	-0.7021	0.8716 
436.524	0.4868	-0.7188	0.8359 
436.524	0.4800	-0.7153	0.7798 
436.540	0.4697	-0.6123	0.6177 
436.540	0.4976	-0.5181	0.5752 
436.540	0.6074	-0.4907	0.6528 
436.540	0.6094	-0.5781	0.7153 
436.540	0.5337	-0.6577	0.7266 
436.571	0.4727	-0.7031	0.6826 
436.665	0.4600	-0.6699	0.6421 
436.680	0.4727	-0.6011	0.6147 
436.680	0.4580	-0.5396	0.5781 
436.680	0.4399	-0.5215	0.5605 
436.680	0.3794	-0.5425	0.5664 
436.680	0.3647	-0.5649	0.5674 
436.696	0.3789	-0.5791	0.5693 
436.712	0.3833	-0.5889	0.5923 
436.743	0.4146	-0.6069	0.6265 
436.758	0.4214	-0.6299	0.6392 
436.774	0.3652	-0.6733	0.6221 
436.837	0.3472	-0.6812	0.6040 
436.868	0.3716	-0.6606	0.5952 
436.868	0.3872	-0.6221	0.5815 
436.868	0.3989	-0.6265	0.5605 
436.883	0.4229	-0.6719	0.6167 
436.899	0.4307	-0.6948	0.6484 
436.915	0.4463	-0.6992	0.6504 
436.930	0.4556	-0.6968	0.6743 
436.962	0.4888	-0.7173	0.7568 
436.977	0.5088	-0.7588	0.8452 
436.993	0.4482	-0.7852	0.9302 
437.024	0.4365	-0.7500	0.9487 
437.102	0.4160	-0.6416	0.9097 
437.102	0.3823	-0.5640	0.8330 
437.118	0.3423	-0.4985	0.7876 
437.118	0.3623	-0.4683	0.8408 
437.118	0.4619	-0.4771	0.9224 
437.133	0.4985	-0.4824	0.9517 
437.149	0.5220	-0.4917	0.9272 
437.180	0.4927	-0.4956	0.8662 
437.212	0.4204	-0.4937	0.7778 
437.290	0.3926	-0.4697	0.7480 
437.290	0.3418	-0.4370	0.6885 
437.321	0.3237	-0.4326	0.6577 
437.321	0.3066	-0.4438	0.6440 
437.321	0.3047	-0.4561	0.6650 
437.321	0.3281	-0.4727	0.6997 
437.337	0.3477	-0.4902	0.7314 
437.352	0.3350	-0.5356	0.7651 
437.383	0.3345	-0.5439	0.7627 
437.508	0.3354	-0.5381	0.7539 
437.508	0.3564	-0.5234	0.7500 
437.540	0.3901	-0.5181	0.7705 
437.540	0.3979	-0.5215	0.7891 
437.540	0.3662	-0.5723	0.7866 
437.540	0.3091	-0.6167	0.7783 
437.540	0.2715	-0.6929	0.7749 
437.540	0.2944	-0.6875	0.7856 
437.555	0.4863	-0.6450	0.8071 
437.571	0.5332	-0.6782	0.8555 
437.602	0.4697	-0.7251	0.7715 
437.633	0.4526	-0.7134	0.6831 
437.633	0.4639	-0.6621	0.6064 
