StartTime: 2018-11-11 20:28:49.928
Time(s)	ax(g)	ay(g)	az(g) 
750.768	0.3979	-0.6787	0.6655 
750.784	0.3989	-0.6465	0.6450 
750.799	0.3774	-0.6553	0.6343 
750.893	0.3838	-0.6899	0.6641 
750.924	0.4009	-0.6680	0.6733 
750.924	0.3921	-0.6631	0.6738 
750.924	0.3740	-0.6753	0.6777 
750.924	0.3662	-0.6909	0.6914 
750.940	0.3569	-0.7007	0.6978 
750.940	0.3799	-0.6821	0.7031 
750.971	0.3828	-0.6587	0.6860 
751.002	0.3916	-0.6338	0.6558 
751.002	0.3789	-0.6445	0.6558 
751.081	0.3667	-0.6660	0.6929 
751.096	0.3599	-0.6787	0.7051 
751.096	0.3643	-0.6719	0.6943 
751.096	0.3848	-0.6650	0.7095 
751.112	0.3887	-0.6592	0.7104 
751.127	0.3809	-0.6567	0.6929 
751.143	0.4014	-0.6392	0.7119 
751.159	0.4067	-0.6245	0.7192 
751.190	0.4014	-0.6084	0.7114 
751.221	0.3809	-0.6162	0.6978 
751.221	0.3652	-0.6450	0.7075 
751.252	0.3799	-0.6509	0.7217 
751.362	0.3862	-0.6094	0.7300 
751.362	0.3887	-0.5859	0.7056 
751.377	0.3662	-0.5811	0.6846 
751.377	0.3662	-0.5864	0.6973 
751.377	0.3979	-0.6138	0.7480 
751.377	0.3901	-0.6421	0.7544 
751.377	0.3643	-0.6719	0.7358 
751.424	0.3633	-0.6621	0.7227 
751.440	0.3735	-0.6504	0.7295 
751.440	0.3838	-0.6563	0.7529 
751.456	0.3647	-0.6631	0.7207 
751.471	0.3345	-0.6621	0.6978 
751.549	0.3159	-0.6772	0.6865 
751.581	0.3291	-0.6714	0.6982 
751.581	0.3423	-0.6235	0.6787 
751.581	0.3091	-0.6128	0.6533 
751.581	0.2998	-0.6382	0.6655 
751.596	0.3247	-0.6484	0.6992 
751.627	0.3413	-0.6377	0.7168 
751.643	0.3506	-0.6357	0.7319 
751.659	0.3491	-0.6362	0.7310 
