StartTime: 2018-11-11 21:21:17.512
Time(s)	ax(g)	ay(g)	az(g) 
402.535	0.2705	-0.8184	0.5679 
402.556	0.2632	-0.8120	0.5562 
402.574	0.2588	-0.8164	0.5479 
402.594	0.2822	-0.8198	0.5527 
402.616	0.2920	-0.8125	0.5454 
402.667	0.2842	-0.8091	0.5210 
402.680	0.2915	-0.8145	0.5366 
402.680	0.3047	-0.8257	0.5542 
402.702	0.3154	-0.8130	0.5610 
402.723	0.3042	-0.8057	0.5488 
402.733	0.2925	-0.8076	0.5444 
402.753	0.2964	-0.8159	0.5571 
402.772	0.3140	-0.8281	0.5635 
402.793	0.3130	-0.8223	0.5557 
402.812	0.2974	-0.8164	0.5376 
402.874	0.2988	-0.8115	0.5405 
402.880	0.2925	-0.7969	0.5464 
402.880	0.2944	-0.7920	0.5610 
402.894	0.2935	-0.8105	0.5479 
402.912	0.3071	-0.8184	0.5601 
402.934	0.3115	-0.8086	0.5508 
402.952	0.2983	-0.8047	0.5293 
402.972	0.2905	-0.8101	0.5176 
402.992	0.2998	-0.8228	0.5342 
403.014	0.3062	-0.8125	0.5273 
403.036	0.2954	-0.7988	0.4980 
403.084	0.2998	-0.7935	0.4863 
403.093	0.3052	-0.8247	0.4893 
403.099	0.3115	-0.8501	0.4854 
403.117	0.3096	-0.8682	0.4775 
403.138	0.3286	-0.8931	0.4995 
403.159	0.3359	-0.9019	0.5142 
403.180	0.2910	-0.8848	0.5049 
403.190	0.2646	-0.8525	0.4912 
403.210	0.2661	-0.8291	0.4800 
403.230	0.2891	-0.8115	0.4800 
403.277	0.2817	-0.8062	0.4634 
403.284	0.2690	-0.8311	0.4546 
403.290	0.2705	-0.8560	0.4658 
403.313	0.2832	-0.8428	0.4624 
403.332	0.2979	-0.8354	0.4600 
403.357	0.3066	-0.8501	0.4736 
403.376	0.2964	-0.8452	0.4814 
403.399	0.2852	-0.8394	0.4629 
403.412	0.2588	-0.8530	0.4253 
403.430	0.2407	-0.8633	0.4204 
403.470	0.2563	-0.8550	0.4370 
403.483	0.2754	-0.8530	0.4507 
403.489	0.2764	-0.8628	0.4663 
403.509	0.2671	-0.8701	0.4497 
403.529	0.2373	-0.9126	0.4077 
403.549	0.2183	-0.9785	0.3984 
403.568	0.2310	-1.0054	0.4316 
403.588	0.2725	-0.9717	0.4219 
403.610	0.2939	-0.9653	0.3931 
403.663	0.2788	-0.9941	0.3911 
403.670	0.2949	-1.0400	0.4067 
403.670	0.3560	-1.0356	0.5073 
403.697	0.4238	-0.9648	0.6001 
403.708	0.4443	-0.9102	0.5825 
403.733	0.4502	-0.8701	0.5938 
403.748	0.4067	-0.7690	0.6133 
403.771	0.3521	-0.7207	0.5952 
403.788	0.3267	-0.6841	0.6299 
403.808	0.3574	-0.6797	0.7026 
403.866	0.3721	-0.6733	0.7700 
403.872	0.3755	-0.6924	0.7983 
403.872	0.4844	-0.7041	0.8433 
403.888	0.5371	-0.7065	0.8340 
403.907	0.4927	-0.7212	0.7290 
403.927	0.4014	-0.7280	0.6401 
403.946	0.2998	-0.7217	0.5723 
403.969	0.2686	-0.7002	0.5474 
403.986	0.2485	-0.6631	0.5161 
404.011	0.2334	-0.6382	0.4902 
404.068	0.2280	-0.6104	0.4658 
404.074	0.2500	-0.6260	0.4902 
404.074	0.3057	-0.6694	0.5498 
404.086	0.3223	-0.7046	0.5879 
404.106	0.3208	-0.7251	0.5991 
404.126	0.2964	-0.7510	0.5957 
404.148	0.2822	-0.7578	0.6089 
404.169	0.3003	-0.7373	0.6099 
404.189	0.3252	-0.7275	0.6084 
404.211	0.3218	-0.7314	0.6050 
404.235	0.2754	-0.7720	0.5972 
404.245	0.2334	-0.8237	0.6016 
404.265	0.1865	-0.8374	0.6079 
404.284	0.1792	-0.8208	0.6094 
404.321	0.1836	-0.8335	0.6152 
404.334	0.2261	-0.8384	0.6372 
404.354	0.3569	-0.8022	0.6602 
404.365	0.4385	-0.8281	0.6621 
404.384	0.4312	-0.9580	0.7095 
404.404	0.3730	-1.0293	0.6934 
404.424	0.3584	-0.9971	0.5703 
404.465	0.3491	-0.8936	0.4531 
404.474	0.4692	-0.7114	0.3647 
404.484	0.6021	-0.6694	0.3862 
404.504	0.6919	-0.7441	0.4863 
404.524	0.5796	-0.8115	0.5103 
404.543	0.4380	-0.8228	0.4902 
404.568	0.3999	-0.8096	0.4839 
404.590	0.3765	-0.7705	0.4756 
404.612	0.3384	-0.7334	0.4287 
404.633	0.2773	-0.6914	0.3613 
404.647	0.2896	-0.6841	0.3740 
404.663	0.3604	-0.6797	0.4312 
404.682	0.3799	-0.6816	0.4448 
404.718	0.3223	-0.7300	0.4336 
