StartTime: 2018-11-11 21:21:17.512
Time(s)	ax(g)	ay(g)	az(g) 
660.756	0.2827	-0.7954	0.5796 
660.776	0.2896	-0.8003	0.5854 
660.837	0.3130	-0.7935	0.5947 
660.843	0.3149	-0.7900	0.5942 
660.843	0.2813	-0.8037	0.5757 
660.855	0.2612	-0.8022	0.5684 
660.876	0.2690	-0.7983	0.5630 
660.895	0.2979	-0.7939	0.5757 
660.916	0.3179	-0.7871	0.5840 
660.936	0.3042	-0.7920	0.5825 
660.959	0.2803	-0.8066	0.5830 
660.979	0.2778	-0.8105	0.5840 
661.035	0.2930	-0.8022	0.5796 
661.041	0.3057	-0.7861	0.5693 
661.041	0.2998	-0.7847	0.5605 
661.055	0.2935	-0.7939	0.5684 
661.074	0.3032	-0.7979	0.5830 
661.097	0.3071	-0.7910	0.5845 
661.114	0.3130	-0.7856	0.5776 
661.134	0.3105	-0.7949	0.5762 
661.154	0.3086	-0.7886	0.5820 
661.178	0.2993	-0.7832	0.5737 
661.200	0.2886	-0.7959	0.5854 
661.241	0.3052	-0.8037	0.5942 
661.253	0.3169	-0.7861	0.5894 
661.259	0.3071	-0.7769	0.5708 
661.276	0.2905	-0.7896	0.5552 
661.297	0.2939	-0.7939	0.5693 
661.316	0.3066	-0.7842	0.5869 
661.332	0.3018	-0.7827	0.5815 
661.352	0.2944	-0.8076	0.5869 
661.372	0.2915	-0.8149	0.5791 
661.396	0.2959	-0.8042	0.5620 
661.440	0.2930	-0.7954	0.5459 
661.450	0.2910	-0.8076	0.5483 
661.456	0.2969	-0.8071	0.5474 
661.472	0.3154	-0.8052	0.5459 
661.494	0.3198	-0.8105	0.5386 
661.517	0.3164	-0.8115	0.5342 
661.541	0.3081	-0.8047	0.5215 
661.557	0.3042	-0.8032	0.5234 
661.583	0.3125	-0.8091	0.5337 
661.592	0.3198	-0.8115	0.5391 
661.638	0.3125	-0.8159	0.5356 
661.652	0.3062	-0.8213	0.5308 
661.658	0.3154	-0.8184	0.5337 
661.670	0.3218	-0.8149	0.5322 
661.697	0.3140	-0.8164	0.5283 
661.712	0.3066	-0.8169	0.5229 
661.734	0.3042	-0.8301	0.5361 
661.757	0.3149	-0.8252	0.5449 
661.783	0.3140	-0.8081	0.5405 
661.791	0.3013	-0.8062	0.5342 
661.845	0.2891	-0.8164	0.5469 
661.854	0.2998	-0.8179	0.5762 
661.854	0.3037	-0.8066	0.5874 
661.874	0.2886	-0.8057	0.5845 
661.896	0.2866	-0.8008	0.6006 
661.917	0.2822	-0.7754	0.6030 
661.940	0.2373	-0.7627	0.5894 
661.950	0.2363	-0.7676	0.5908 
661.971	0.2783	-0.7710	0.6187 
661.989	0.2993	-0.7910	0.6440 
662.039	0.2983	-0.8110	0.6548 
662.045	0.3022	-0.8115	0.6401 
662.051	0.2813	-0.8101	0.6128 
662.072	0.2671	-0.7988	0.5884 
662.100	0.2031	-0.8042	0.5537 
662.110	0.1621	-0.8071	0.5435 
662.129	0.1392	-0.7974	0.5371 
662.149	0.1602	-0.7798	0.5444 
662.169	0.2129	-0.7837	0.5830 
662.190	0.2329	-0.7935	0.5972 
