StartTime: 2018-11-17 10:22:35.946
Time(s)	ax(g)	ay(g)	az(g)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
319.826	0.1045	0.0879	1.0264	3.8727	-2.0490	-2.3621	17.3500 
319.846	0.1035	0.0913	1.0200	3.8892	-2.0544	-2.3456	17.3300 
319.865	0.1030	0.0962	1.0200	3.9056	-2.0599	-2.3291	17.3300 
319.969	0.1021	0.0986	1.0254	3.9221	-2.0599	-2.3126	17.3500 
319.980	0.1074	0.1016	1.0264	3.9386	-2.0654	-2.2852	17.3500 
319.980	0.1108	0.1035	1.0254	3.9441	-2.0764	-2.2577	17.3400 
319.980	0.1099	0.1035	1.0308	3.9441	-2.0874	-2.2247	17.3600 
319.980	0.1113	0.0957	1.0273	3.9496	-2.0929	-2.1918	17.3600 
319.986	0.1050	0.0991	1.0273	3.9606	-2.0984	-2.1643	17.3500 
320.006	0.1045	0.0952	1.0254	3.9771	-2.0984	-2.1313	17.3600 
320.131	0.1084	0.1069	1.0220	3.9935	-2.1094	-2.0984	17.3700 
320.138	0.1138	0.1074	1.0234	4.0100	-2.1149	-2.0709	17.3700 
320.138	0.1143	0.0991	1.0249	4.0100	-2.1259	-2.0380	17.3600 
320.138	0.1094	0.0991	1.0229	4.0155	-2.1313	-2.0050	17.3800 
320.138	0.1108	0.0986	1.0249	4.0155	-2.1368	-1.9720	17.3700 
320.138	0.1074	0.0938	1.0264	4.0155	-2.1313	-1.9501	17.3700 
320.144	0.1035	0.0933	1.0259	4.0210	-2.1259	-1.9281	17.3800 
320.166	0.1055	0.0972	1.0234	4.0265	-2.1259	-1.9116	17.3700 
320.185	0.1104	0.1001	1.0225	4.0375	-2.1259	-1.8951	17.3900 
320.207	0.1094	0.1025	1.0200	4.0540	-2.1259	-1.8896	17.3900 
320.229	0.1021	0.0996	1.0254	4.0649	-2.1149	-1.8951	17.3800 
320.326	0.1016	0.1030	1.0234	4.0649	-2.0984	-1.9061	17.4000 
320.337	0.1064	0.1089	1.0254	4.0704	-2.0874	-1.9171	17.3900 
320.337	0.1094	0.1099	1.0288	4.0704	-2.0819	-1.9226	17.3900 
320.337	0.1094	0.0952	1.0322	4.0704	-2.0874	-1.9281	17.4000 
320.338	0.1064	0.0952	1.0352	4.0649	-2.0874	-1.9391	17.4000 
320.344	0.1050	0.1025	1.0288	4.0759	-2.0819	-1.9446	17.3900 
320.362	0.1021	0.1055	1.0234	4.0869	-2.0819	-1.9391	17.3900 
320.382	0.1001	0.1045	1.0205	4.0979	-2.0819	-1.9391	17.3900 
320.405	0.1001	0.1030	1.0186	4.1034	-2.0819	-1.9446	17.4100 
320.427	0.1030	0.1021	1.0229	4.1089	-2.0819	-1.9556	17.4000 
320.530	0.1069	0.0952	1.0293	4.1034	-2.0819	-1.9775	17.4100 
320.541	0.1099	0.0957	1.0313	4.1089	-2.0874	-2.0050	17.3900 
320.541	0.1167	0.0991	1.0273	4.1144	-2.0874	-2.0215	17.4100 
320.541	0.1191	0.1030	1.0273	4.1418	-2.0929	-2.0270	17.4100 
320.541	0.1201	0.1055	1.0254	4.1748	-2.0929	-2.0435	17.4100 
320.547	0.1157	0.1006	1.0259	4.2078	-2.0819	-2.0709	17.4200 
320.562	0.1025	0.1030	1.0259	4.2352	-2.0654	-2.1094	17.4300 
320.585	0.0996	0.0962	1.0249	4.2572	-2.0490	-2.1533	17.4100 
320.607	0.0996	0.0986	1.0254	4.2737	-2.0270	-2.2028	17.4200 
320.628	0.1001	0.1011	1.0205	4.2902	-2.0105	-2.2577	17.4200 
320.729	0.0981	0.1045	1.0190	4.3066	-1.9940	-2.3016	17.4100 
320.741	0.1001	0.1055	1.0186	4.3176	-1.9775	-2.3346	17.4400 
320.741	0.1011	0.1060	1.0264	4.3341	-1.9611	-2.3621	17.4200 
320.741	0.1021	0.1084	1.0269	4.3451	-1.9501	-2.3895	17.4200 
320.741	0.1001	0.1006	1.0288	4.3506	-1.9336	-2.4115	17.4400 
320.757	0.0972	0.0957	1.0269	4.3561	-1.9226	-2.4390	17.4400 
320.771	0.0942	0.0981	1.0225	4.3561	-1.9116	-2.4500	17.4500 
320.781	0.0952	0.1050	1.0229	4.3671	-1.9061	-2.4500	17.4400 
320.804	0.1030	0.1094	1.0254	4.3726	-1.9061	-2.4280	17.4500 
320.824	0.1055	0.1123	1.0249	4.3781	-1.9171	-2.4060	17.4600 
320.846	0.1025	0.1064	1.0259	4.3726	-1.9281	-2.3895	17.4500 
320.864	0.0962	0.0981	1.0273	4.3671	-1.9336	-2.3785	17.4500 
320.887	0.0908	0.0942	1.0264	4.3616	-1.9336	-2.3730	17.4500 
320.983	0.0913	0.0962	1.0244	4.3616	-1.9391	-2.3566	17.4500 
320.994	0.0977	0.1021	1.0190	4.3671	-1.9501	-2.3236	17.4400 
320.994	0.0986	0.1074	1.0225	4.3781	-1.9666	-2.2742	17.4500 
320.994	0.1030	0.1089	1.0239	4.3890	-1.9830	-2.2192	17.4600 
320.994	0.1060	0.1060	1.0269	4.3890	-2.0050	-2.1753	17.4600 
321.000	0.1016	0.1021	1.0254	4.3835	-2.0270	-2.1423	17.4700 
321.019	0.0996	0.1021	1.0210	4.3835	-2.0490	-2.1094	17.4700 
321.136	0.1079	0.1060	1.0269	4.3781	-2.0654	-2.0654	17.4600 
321.142	0.1123	0.1055	1.0269	4.3781	-2.0874	-2.0160	17.4700 
321.144	0.1143	0.1089	1.0283	4.3835	-2.1094	-1.9666	17.4800 
321.144	0.1157	0.1074	1.0273	4.3781	-2.1204	-1.9281	17.4800 
321.145	0.1040	0.1055	1.0239	4.3781	-2.1259	-1.9116	17.4800 
321.145	0.1055	0.1025	1.0225	4.3671	-2.1259	-1.8896	17.4700 
321.159	0.1069	0.1016	1.0278	4.3506	-2.1149	-1.8842	17.4800 
321.178	0.1060	0.0991	1.0249	4.3286	-2.1094	-1.8842	17.4800 
321.198	0.1060	0.1069	1.0171	4.3231	-2.0984	-1.8951	17.4800 
321.218	0.1074	0.1064	1.0200	4.3231	-2.0874	-1.9006	17.4800 
321.238	0.1055	0.1025	1.0264	4.3176	-2.0764	-1.9116	17.4800 
321.347	0.1064	0.1011	1.0293	4.3121	-2.0654	-1.9281	17.4900 
321.365	0.1016	0.1035	1.0303	4.3066	-2.0544	-1.9501	17.4800 
321.366	0.1035	0.1079	1.0308	4.3066	-2.0380	-1.9775	17.5000 
321.366	0.1094	0.1104	1.0215	4.3066	-2.0270	-2.0105	17.4900 
321.366	0.1094	0.1152	1.0200	4.3066	-2.0160	-2.0544	17.4900 
321.386	0.1074	0.1152	1.0234	4.2847	-1.9995	-2.1039	17.5100 
321.405	0.1045	0.1030	1.0278	4.2462	-1.9775	-2.1533	17.5000 
321.412	0.0972	0.1016	1.0288	4.2023	-1.9501	-2.2137	17.5100 
321.423	0.0923	0.1006	1.0254	4.1583	-1.9226	-2.2687	17.5100 
321.436	0.0889	0.1025	1.0195	4.1199	-1.9006	-2.3181	17.5000 
321.457	0.0889	0.1050	1.0205	4.0814	-1.8896	-2.3511	17.5000 
321.552	0.0996	0.1060	1.0225	4.0485	-1.8842	-2.3730	17.5100 
321.564	0.0957	0.0977	1.0278	4.0045	-1.8896	-2.3895	17.5100 
321.564	0.0947	0.0923	1.0293	3.9606	-1.8842	-2.4060	17.5200 
321.564	0.0947	0.0962	1.0313	3.9221	-1.8896	-2.4060	17.5100 
321.564	0.1001	0.1006	1.0229	3.8947	-1.9061	-2.4005	17.5200 
321.575	0.1084	0.0977	1.0249	3.8727	-1.9281	-2.3840	17.5300 
321.595	0.1064	0.0952	1.0244	3.8452	-1.9501	-2.3621	17.5300 
321.614	0.1016	0.0928	1.0215	3.8177	-1.9666	-2.3456	17.5200 
321.635	0.0972	0.0918	1.0244	3.7958	-1.9775	-2.3291	17.5100 
321.655	0.0918	0.0962	1.0288	3.7738	-1.9940	-2.3071	17.5300 
321.755	0.0972	0.1001	1.0278	3.7408	-2.0160	-2.2742	17.5300 
321.766	0.0977	0.1055	1.0205	3.7024	-2.0325	-2.2577	17.5300 
321.766	0.0913	0.0938	1.0190	3.6475	-2.0380	-2.2632	17.5300 
321.766	0.0757	0.0742	1.0220	3.5815	-2.0435	-2.2961	17.5200 
321.767	0.0708	0.0713	1.0225	3.5156	-2.0544	-2.3291	17.5300 
321.774	0.0752	0.0811	1.0239	3.4662	-2.0874	-2.3456	17.5300 
321.793	0.0923	0.0918	1.0239	3.4277	-2.1478	-2.3456	17.5600 
321.814	0.1074	0.1123	1.0249	3.3893	-2.2083	-2.3236	17.5500 
321.837	0.1143	0.1147	1.0273	3.3344	-2.2577	-2.2852	17.5600 
321.857	0.1191	0.1123	1.0366	3.2574	-2.2906	-2.2522	17.5500 
321.972	0.1187	0.1157	1.0400	3.1696	-2.2852	-2.2412	17.5600 
321.986	0.1128	0.1147	1.0313	3.0762	-2.2577	-2.2467	17.5600 
321.987	0.1025	0.1074	1.0332	2.9608	-2.2083	-2.2467	17.5500 
321.987	0.0938	0.1025	1.0396	2.8400	-2.1313	-2.2357	17.5600 
321.987	0.0981	0.0977	1.0381	2.7081	-2.0380	-2.2247	17.5700 
321.987	0.0967	0.0996	1.0293	2.5818	-1.9501	-2.2028	17.5800 
321.994	0.0947	0.0991	1.0195	2.4609	-1.8732	-2.1808	17.5800 
322.014	0.0806	0.0903	1.0210	2.3456	-1.8018	-2.1753	17.5700 
322.033	0.0693	0.0806	1.0215	2.2357	-1.7249	-2.1808	17.5700 
322.054	0.0591	0.0752	1.0283	2.1313	-1.6534	-2.1808	17.5700 
322.075	0.0586	0.0781	1.0317	2.0270	-1.5875	-2.1588	17.5800 
322.188	0.0688	0.0933	1.0273	1.9391	-1.5326	-2.1149	17.5800 
322.199	0.0732	0.0967	1.0283	1.8622	-1.4832	-2.0764	17.5700 
322.199	0.0586	0.0996	1.0308	1.7963	-1.4337	-2.0709	17.5800 
322.200	0.0508	0.1001	1.0254	1.7468	-1.3788	-2.0929	17.5900 
322.200	0.0479	0.0957	1.0254	1.6864	-1.3293	-2.1259	17.5800 
322.200	0.0498	0.0811	1.0293	1.6260	-1.2744	-2.1753	17.5800 
322.223	0.0503	0.0708	1.0269	1.5656	-1.2305	-2.2192	17.5900 
322.231	0.0591	0.0806	1.0210	1.5051	-1.1920	-2.2632	17.5900 
322.251	0.0596	0.0801	1.0166	1.4392	-1.1481	-2.3071	17.6000 
322.272	0.0576	0.0688	1.0195	1.3788	-1.1041	-2.3511	17.5900 
322.294	0.0591	0.0679	1.0234	1.3239	-1.0657	-2.3895	17.5900 
322.401	0.0786	0.0601	1.0342	1.2689	-1.0382	-2.4005	17.5900 
322.413	0.0957	0.0508	1.0371	1.2085	-1.0382	-2.3785	17.5900 
322.413	0.1270	0.0508	1.0132	1.1371	-1.0547	-2.3346	17.6000 
322.413	0.1479	0.0747	0.9644	1.1041	-1.0876	-2.2632	17.6000 
322.413	0.1733	0.0698	0.9326	1.0876	-1.1536	-2.1863	17.6100 
322.419	0.1753	0.0264	0.9893	0.9888	-1.2469	-2.1368	17.6000 
322.434	0.1943	-0.0063	1.1108	0.7965	-1.3403	-2.1478	17.6100 
322.458	0.1973	-0.0029	1.1299	0.6097	-1.4557	-2.1643	17.6000 
322.478	0.1572	0.0215	1.0991	0.4944	-1.5656	-2.1753	17.6100 
322.490	0.1372	0.0283	1.0864	0.4504	-1.6699	-2.1643	17.6300 
322.607	0.1279	0.0386	1.0654	0.4614	-1.7688	-2.1039	17.6200 
