StartTime: 2018-12-08 14:29:24.395
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	487.850	0.1035	0.0508	1.0654	-0.0610	0.4883	-0.1221	2.8729	-4.5813	16.0345	17.6300	95	313	-80 
0x50	487.865	0.1035	0.0522	1.0625	-0.4272	0.4272	-0.1221	2.8674	-4.5813	16.0510	17.6200	96	313	-80 
0x50	487.881	0.1060	0.0527	1.0625	-0.4883	0.5493	-0.1221	2.8619	-4.5868	16.0730	17.6100	96	312	-79 
0x50	487.896	0.1055	0.0513	1.0640	-1.1597	0.5493	-0.0610	2.8400	-4.5868	16.0895	17.6300	96	314	-78 
0x50	487.990	0.1050	0.0513	1.0601	-2.1973	0.6714	0.0000	2.8070	-4.5923	16.1060	17.6300	95	314	-77 
0x50	488.006	0.1030	0.0469	1.0669	-2.9297	0.5493	0.0610	2.7521	-4.5923	16.1279	17.6200	95	315	-76 
0x50	488.006	0.1045	0.0469	1.0664	-2.6855	0.0000	-0.0610	2.6971	-4.5978	16.1444	17.6200	96	313	-78 
0x50	488.006	0.1060	0.0454	1.0664	-1.7700	-0.2441	-0.1221	2.6477	-4.6088	16.1664	17.6200	95	311	-77 
0x50	488.006	0.1069	0.0454	1.0669	-1.5869	0.0610	0.1221	2.6147	-4.6252	16.1829	17.6300	94	311	-78 
0x50	488.021	0.1060	0.0439	1.0664	-1.0986	0.2441	0.1221	2.5818	-4.6362	16.2048	17.6300	96	312	-77 
0x50	488.037	0.1064	0.0449	1.0640	0.1221	0.5493	0.1221	2.5708	-4.6417	16.2268	17.6200	95	315	-77 
0x50	488.068	0.1050	0.0459	1.0679	0.5493	0.5493	0.0000	2.5818	-4.6417	16.2488	17.6200	99	316	-77 
0x50	488.084	0.1079	0.0435	1.0659	0.7324	0.3052	-0.0610	2.5928	-4.6472	16.2708	17.6400	98	314	-76 
0x50	488.099	0.1128	0.0420	1.0693	1.7700	0.7324	0.0000	2.6093	-4.6527	16.2872	17.6400	96	312	-74 
0x50	488.115	0.1084	0.0449	1.0708	3.8452	1.4038	0.1221	2.6697	-4.6417	16.3092	17.6400	95	312	-73 
0x50	488.146	0.1035	0.0469	1.0688	5.2490	1.5869	0.0000	2.7576	-4.6252	16.3312	17.6200	94	311	-74 
