StartTime: 2018-11-18 09:26:32.427
Time(s)	ax(g)	ay(g)	az(g)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
692.206	-0.0225	0.1255	1.0264	5.4602	4.1364	-9.3549	20.0200 
692.206	-0.0186	0.1499	1.0200	5.4492	4.1418	-9.4043	20.0300 
692.207	-0.0220	0.1553	1.0376	5.4382	4.1528	-9.4592	20.0300 
692.207	-0.0283	0.1245	1.0229	5.4218	4.1309	-9.4812	20.0200 
692.225	-0.0249	0.1382	1.0073	5.3998	4.1199	-9.5581	20.0300 
692.341	-0.0234	0.1563	1.0259	5.3943	4.1144	-9.6460	20.0300 
692.355	-0.0215	0.1411	1.0210	5.3833	4.0759	-9.6899	20.0200 
692.355	-0.0288	0.1216	1.0244	5.3394	4.0430	-9.7449	20.0200 
692.355	-0.0283	0.1509	1.0210	5.3064	4.0430	-9.8712	20.0100 
692.355	-0.0239	0.1460	1.0327	5.2899	4.0210	-9.9261	20.0300 
692.355	-0.0249	0.1138	1.0063	5.2405	3.9661	-9.9536	20.0200 
692.356	-0.0225	0.1421	1.0244	5.1746	3.9551	-10.0580	20.0500 
692.377	-0.0239	0.1455	1.0195	5.1251	3.9276	-10.1349	20.0500 
692.400	-0.0093	0.1343	1.0166	5.0592	3.8782	-10.1733	20.0300 
692.418	-0.0063	0.1304	1.0317	4.9823	3.8342	-10.2228	20.0300 
692.435	-0.0122	0.1221	1.0220	4.9109	3.7903	-10.2942	20.0300 
692.455	-0.0166	0.1226	1.0298	4.8395	3.7628	-10.3931	20.0400 
692.568	-0.0229	0.1309	1.0283	4.7791	3.7408	-10.4865	20.0200 
692.590	-0.0225	0.1309	1.0205	4.7076	3.7079	-10.5469	20.0400 
692.590	-0.0166	0.1328	1.0166	4.6307	3.6749	-10.6018	20.0400 
692.590	-0.0181	0.1309	1.0303	4.5538	3.6475	-10.6567	20.0300 
692.590	-0.0161	0.1147	1.0337	4.4659	3.6145	-10.6897	20.0400 
692.590	-0.0239	0.1094	1.0386	4.3781	3.6090	-10.7611	20.0300 
692.605	-0.0269	0.1396	1.0313	4.2957	3.6310	-10.8655	20.0400 
692.624	-0.0254	0.1377	1.0308	4.2188	3.6530	-10.9094	20.0200 
692.641	-0.0127	0.1094	1.0015	4.1254	3.6420	-10.8984	20.0300 
692.657	-0.0142	0.1084	1.0151	4.0265	3.6584	-10.9204	20.0300 
692.673	-0.0146	0.1230	1.0532	3.9386	3.6859	-10.9753	20.0200 
692.786	-0.0078	0.1201	1.0327	3.8617	3.6804	-11.0028	20.0300 
692.811	-0.0210	0.0859	1.0332	3.7848	3.6914	-11.0193	20.0500 
692.811	-0.0273	0.1055	1.0137	3.7134	3.7299	-11.1017	20.0400 
692.811	-0.0103	0.1260	1.0288	3.6420	3.7793	-11.1401	20.0500 
692.811	0.0000	0.0820	1.0337	3.5541	3.7738	-11.0962	20.0500 
692.812	0.0024	0.0718	1.0317	3.4607	3.7793	-11.1237	20.0200 
692.831	-0.0215	0.0991	1.0449	3.4003	3.8397	-11.2555	20.0400 
692.851	-0.0410	0.0703	1.0078	3.3618	3.8837	-11.3379	20.0400 
692.866	-0.0371	0.0693	0.9878	3.2959	3.9331	-11.3873	20.0300 
692.893	-0.0137	0.0991	1.0117	3.2410	3.9551	-11.4038	20.0300 
693.011	-0.0015	0.0610	0.9980	3.1970	3.9001	-11.3379	20.0300 
693.026	-0.0254	0.0474	1.0171	3.1531	3.8562	-11.3544	20.0200 
693.026	-0.0288	0.1270	1.0322	3.1366	3.8727	-11.5247	20.0400 
693.026	0.0049	0.1011	1.0620	3.1366	3.8123	-11.4972	20.0400 
693.026	0.0127	0.0293	1.0142	3.0872	3.6804	-11.3049	20.0400 
693.026	0.0283	0.1548	1.0410	3.0267	3.6694	-11.3159	20.0400 
693.027	0.0474	0.2036	1.0151	3.0212	3.6475	-11.3379	20.0300 
693.043	0.0464	0.0649	0.9727	2.9663	3.5376	-11.1841	20.0400 
693.075	0.0527	0.0776	0.9980	2.8455	3.4772	-11.1786	20.0300 
693.090	0.0742	0.1743	1.0439	2.7356	3.4827	-11.2885	20.0400 
693.099	0.0913	0.1226	1.0327	2.6147	3.3893	-11.2006	20.0400 
693.123	0.1240	0.1245	0.9990	2.4445	3.2684	-11.0852	20.0400 
693.222	0.1240	0.1660	1.0303	2.3016	3.2190	-11.0907	20.0400 
693.241	0.0840	0.1299	1.0610	2.1863	3.1750	-11.0248	20.0400 
693.241	-0.0015	0.0503	1.1011	2.0325	3.1696	-10.9424	20.0400 
693.241	0.0010	0.1235	1.0688	1.9226	3.1696	-10.9479	20.0500 
693.241	0.0659	0.2295	1.0317	1.8787	3.1421	-10.7831	20.0400 
693.241	0.1128	0.1875	0.9688	1.8073	2.9938	-10.2777	20.0400 
693.258	0.1206	0.0991	0.9468	1.6754	2.8784	-9.7559	20.0300 
693.274	0.0698	0.1079	0.9204	1.5436	2.9388	-9.5801	20.0300 
693.372	0.0459	0.1948	1.0371	1.4502	3.1366	-9.5306	20.0300 
693.394	0.0552	0.1377	1.0010	1.3239	3.1860	-9.2395	20.0300 
693.395	0.0747	0.0811	1.0239	1.1206	3.2300	-8.9044	20.0400 
693.395	0.1025	0.1636	1.0122	0.9503	3.2684	-8.7396	20.0500 
693.395	0.0806	0.1592	1.0107	0.8350	3.3069	-8.4869	20.0300 
693.395	0.0737	0.1157	1.0034	0.7196	3.3398	-8.1573	20.0300 
693.409	0.0938	0.1523	1.0322	0.6207	3.4222	-7.8882	20.0400 
693.433	0.1138	0.1484	1.0229	0.5713	3.4717	-7.5586	20.0300 
693.449	0.0732	0.1147	1.0620	0.5219	3.5266	-7.2125	20.0200 
693.468	0.0630	0.0942	1.0923	0.4834	3.6145	-6.9269	20.0200 
693.494	0.0903	0.1621	1.0830	0.5054	3.6914	-6.6248	20.0300 
693.509	0.1309	0.1772	1.1577	0.5383	3.7848	-6.1908	20.0200 
693.527	0.1548	0.1675	1.0332	0.6207	3.7628	-5.6305	20.0200 
693.547	0.1392	0.1816	1.0776	0.7251	3.8452	-5.1910	20.0200 
693.659	0.1582	0.2437	1.1733	0.8130	3.9880	-4.9164	20.0200 
693.672	0.1812	0.2256	1.1675	0.8954	4.0540	-4.5648	20.0200 
693.672	0.1484	0.0938	1.1309	0.9888	4.0924	-4.1528	20.0100 
693.672	0.1357	0.1235	1.1299	1.1261	4.2242	-3.9496	20.0200 
693.672	0.0645	0.1118	1.2241	1.3898	4.4604	-3.7903	20.0200 
693.673	0.0483	0.0903	1.1563	1.8127	4.5483	-3.5706	20.0200 
693.688	-0.0596	0.0195	1.0474	2.3016	4.5703	-3.4222	20.0200 
693.707	-0.1509	-0.0259	1.0269	2.7026	4.7296	-3.4497	20.0300 
693.797	-0.2124	0.0337	0.9727	2.9993	5.0372	-3.6530	20.0200 
693.806	-0.2051	0.0181	1.0581	3.1805	5.3668	-3.7024	20.0300 
693.806	-0.2637	-0.1167	1.0088	3.2574	5.5701	-3.5980	20.0300 
693.806	-0.3130	-0.1211	1.1611	3.2355	5.9106	-3.6310	20.0300 
693.806	-0.2183	0.0557	1.1284	3.2245	6.0809	-3.7079	20.0200 
693.826	-0.1685	0.0640	1.1455	3.2520	6.0974	-3.4772	20.0200 
693.846	-0.0918	0.0278	0.9761	3.2300	5.9821	-3.1201	20.0200 
693.865	-0.0728	0.0869	0.9224	3.2080	5.9326	-2.9663	20.0200 
693.885	-0.0815	0.1387	0.8599	3.2465	5.9326	-2.9279	20.0000 
693.908	-0.1006	0.0635	0.8335	3.2849	5.8777	-2.8235	20.0000 
693.997	-0.1294	0.0313	0.8857	3.2025	5.8887	-2.8400	20.0100 
694.025	-0.1182	0.0986	0.8960	3.1036	5.9491	-2.9828	20.0000 
694.025	-0.0742	0.1328	0.8726	3.0377	5.9546	-2.9828	20.0000 
694.025	-0.0645	0.0884	0.8794	2.9388	5.9491	-2.8290	20.0000 
694.025	-0.0713	0.1099	0.9121	2.7905	5.9875	-2.8345	19.9900 
694.044	-0.0874	0.1377	0.9297	2.6532	6.0699	-2.9993	19.9900 
694.065	-0.1274	0.1025	0.9209	2.5214	6.1414	-3.2080	20.0100 
694.085	-0.1509	0.0879	0.9092	2.3840	6.2238	-3.4772	20.0000 
694.107	-0.1514	0.1509	0.9609	2.2852	6.3446	-3.8287	20.0000 
694.107	-0.1455	0.1685	1.0103	2.2357	6.4215	-4.0869	20.0000 
694.206	-0.1392	0.1563	1.0283	2.2137	6.3721	-4.2737	20.0000 
694.222	-0.1284	0.1943	1.0391	2.2028	6.2787	-4.5978	19.9900 
694.222	-0.1196	0.2310	1.0264	2.2357	6.1469	-4.9878	20.0000 
694.222	-0.1138	0.1899	1.0527	2.2797	5.9436	-5.2350	20.0000 
694.222	-0.1289	0.1606	1.0376	2.3126	5.6195	-5.3778	20.0000 
694.243	-0.1089	0.0869	1.0522	2.3291	5.2570	-5.5261	20.0200 
694.264	-0.0718	0.0659	1.2021	2.3621	4.9658	-5.6909	20.0000 
694.264	-0.0581	0.0557	1.3340	2.4829	4.6307	-5.7404	19.9900 
694.283	-0.0303	0.0820	1.2559	2.6807	4.1968	-5.6964	19.9900 
694.304	0.0322	0.0024	1.2373	2.7850	3.7848	-5.3888	19.9900 
694.393	0.0898	-0.0840	1.1377	2.7466	3.2849	-4.7845	20.0100 
694.403	0.1382	-0.1860	0.9883	2.6147	2.8674	-4.1693	20.0000 
694.403	0.1895	-0.1797	0.9517	2.4994	2.5214	-3.7573	19.9900 
