StartTime: 2018-11-15 20:11:00.594
Time(s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
2136.968	9.2065	19.4183	-9.2889	0.0000 
2136.988	9.1901	19.4019	-9.3713	0.0000 
2137.008	9.1791	19.4073	-9.4757	0.0000 
2137.028	9.1516	19.4128	-9.5801	0.0000 
2137.049	9.1241	19.4073	-9.6735	0.0000 
2137.069	9.1022	19.3909	-9.7614	0.0000 
2137.162	9.0802	19.3744	-9.8438	0.0000 
2137.168	9.0527	19.3524	-9.9207	0.0000 
2137.168	9.0417	19.3359	-9.9921	0.0000 
2137.168	9.0417	19.3195	-10.0635	0.0000 
2137.168	9.0198	19.2975	-10.1349	0.0000 
2137.194	8.9923	19.2865	-10.2063	0.0000 
2137.217	8.9758	19.2810	-10.2612	0.0000 
2137.227	8.9703	19.2810	-10.3052	0.0000 
2137.248	8.9648	19.2700	-10.3491	0.0000 
2137.266	8.9154	19.2480	-10.4041	0.0000 
2137.337	8.8440	19.2151	-10.4645	0.0000 
2137.348	8.7946	19.1821	-10.5139	0.0000 
2137.349	8.7506	19.1437	-10.5469	0.0000 
2137.355	8.6957	19.0942	-10.5524	0.0000 
2137.370	8.6353	19.0393	-10.5414	0.0000 
2137.392	8.5803	18.9624	-10.5084	0.0000 
2137.412	8.5364	18.8800	-10.4535	0.0000 
2137.435	8.4979	18.7976	-10.4150	0.0000 
2137.510	8.4595	18.7152	-10.3876	0.0000 
2137.521	8.4320	18.6438	-10.3491	0.0000 
2137.522	8.4210	18.5724	-10.2942	0.0000 
2137.522	8.4045	18.5120	-10.2228	0.0000 
2137.537	8.3771	18.4406	-10.1294	0.0000 
2137.556	8.3441	18.3636	-10.0031	0.0000 
2137.572	8.3002	18.3142	-9.8932	0.0000 
2137.593	8.2507	18.3032	-9.8273	0.0000 
2137.615	8.1903	18.3362	-9.7943	0.0000 
2137.625	8.0969	18.4076	-9.8053	0.0000 
2137.644	8.0200	18.4955	-9.8218	0.0000 
2137.664	7.9816	18.5394	-9.7614	0.0000 
2137.735	7.9486	18.5614	-9.6790	0.0000 
2137.747	7.9431	18.6053	-9.6350	0.0000 
2137.748	7.9541	18.6877	-9.6240	0.0000 
2137.754	7.9761	18.7866	-9.6240	0.0000 
2137.767	7.9431	18.8910	-9.6680	0.0000 
2137.788	7.8882	18.9954	-9.7339	0.0000 
2137.809	7.8113	19.0887	-9.8053	0.0000 
2137.832	7.7014	19.1711	-9.9042	0.0000 
2137.843	7.5916	19.2371	-9.9976	0.0000 
2137.863	7.4872	19.2755	-10.1019	0.0000 
2137.882	7.4158	19.2920	-10.2063	0.0000 
2137.969	7.3718	19.2700	-10.3107	0.0000 
2137.975	7.3663	19.2426	-10.4535	0.0000 
2137.975	7.4048	19.1986	-10.6128	0.0000 
2137.975	7.4707	19.1272	-10.7776	0.0000 
2137.982	7.5641	19.0228	-10.9314	0.0000 
2138.003	7.6575	18.9130	-11.1072	0.0000 
2138.024	7.7344	18.7756	-11.3049	0.0000 
2138.047	7.7783	18.6053	-11.5082	0.0000 
2138.069	7.7783	18.4460	-11.7169	0.0000 
2138.145	7.7563	18.2922	-11.8213	0.0000 
2138.157	7.7344	18.1439	-11.8048	0.0000 
2138.157	7.8552	18.0066	-11.6785	0.0000 
2138.157	8.0145	17.9022	-11.5851	0.0000 
2138.163	8.1024	17.9022	-11.6455	0.0000 
2138.181	8.1903	17.9572	-11.7609	0.0000 
2138.201	8.3276	17.9956	-11.8652	0.0000 
2138.221	8.4650	18.0011	-11.9751	0.0000 
2138.242	8.5583	18.0011	-12.1399	0.0000 
2138.265	8.6243	17.9901	-12.3157	0.0000 
2138.288	8.6462	17.9242	-12.4036	0.0000 
