StartTime: 2018-11-22 16:32:19.868
Time(s)	ax(g)	ay(g)	az(g)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
871.025	0.1353	-0.0781	1.0205	-4.1968	-6.7786	4.2682	25.1400 
871.079	0.1357	-0.0752	1.0195	-4.1968	-6.7786	4.2572	25.1400 
871.087	0.1343	-0.0767	1.0200	-4.1968	-6.7786	4.2462	25.1600 
871.089	0.1348	-0.0747	1.0176	-4.1913	-6.7786	4.2462	25.1500 
871.104	0.1362	-0.0762	1.0190	-4.1858	-6.7841	4.2462	25.1400 
871.122	0.1353	-0.0776	1.0225	-4.1858	-6.7841	4.2517	25.1500 
871.143	0.1353	-0.0757	1.0171	-4.1858	-6.7841	4.2517	25.1500 
871.162	0.1348	-0.0762	1.0186	-4.1803	-6.7841	4.2627	25.1400 
871.182	0.1362	-0.0747	1.0171	-4.1803	-6.7841	4.2737	25.1500 
871.202	0.1348	-0.0747	1.0186	-4.1803	-6.7841	4.2847	25.1500 
871.222	0.1353	-0.0771	1.0220	-4.1803	-6.7841	4.3011	25.1500 
871.273	0.1362	-0.0752	1.0195	-4.1858	-6.7841	4.3121	25.1500 
871.275	0.1353	-0.0771	1.0234	-4.1858	-6.7896	4.3121	25.1500 
871.282	0.1372	-0.0776	1.0225	-4.1858	-6.7841	4.3121	25.1400 
871.302	0.1343	-0.0791	1.0259	-4.1913	-6.7786	4.3011	25.1400 
871.322	0.1367	-0.0815	1.0278	-4.1968	-6.7676	4.2957	25.1600 
871.342	0.1348	-0.0840	1.0298	-4.2078	-6.7566	4.2847	25.1500 
871.362	0.1343	-0.0801	1.0229	-4.1858	-6.7401	4.2682	25.1400 
871.381	0.1392	-0.0728	1.0146	-4.1473	-6.7126	4.2627	25.1400 
871.402	0.1357	-0.0747	1.0166	-4.1144	-6.6852	4.2682	25.1400 
871.421	0.1318	-0.0708	1.0176	-4.0814	-6.6412	4.2682	25.1500 
871.465	0.1318	-0.0703	1.0132	-4.0485	-6.6028	4.2572	25.1500 
871.467	0.1313	-0.0713	1.0171	-4.0210	-6.5643	4.2462	25.1500 
871.481	0.1328	-0.0684	1.0142	-3.9880	-6.5369	4.2407	25.1400 
871.501	0.1343	-0.0684	1.0161	-3.9661	-6.5204	4.2297	25.1600 
871.521	0.1313	-0.0698	1.0171	-3.9496	-6.5039	4.2352	25.1600 
871.541	0.1250	-0.0732	1.0229	-3.9496	-6.4929	4.2407	25.1800 
871.561	0.1284	-0.0728	1.0205	-3.9496	-6.4929	4.2407	25.1600 
871.580	0.1294	-0.0732	1.0244	-3.9441	-6.4984	4.2407	25.1600 
871.600	0.1304	-0.0732	1.0229	-3.9221	-6.5039	4.2462	25.1600 
871.668	0.1333	-0.0669	1.0161	-3.9001	-6.5094	4.2462	25.1600 
871.670	0.1328	-0.0698	1.0190	-3.8892	-6.5149	4.2517	25.1600 
871.670	0.1255	-0.0752	1.0234	-3.8837	-6.5204	4.2517	25.1600 
871.682	0.1401	-0.0767	1.0195	-3.8562	-6.5369	4.2572	25.1600 
871.700	0.1274	-0.0747	1.0254	-3.8123	-6.5424	4.2407	25.1600 
871.720	0.1304	-0.0635	1.0142	-3.7408	-6.5588	4.2242	25.1700 
871.740	0.1294	-0.0605	1.0156	-3.6694	-6.5753	4.2188	25.1600 
