StartTime: 2018-11-20 19:51:14.862
Time(s)	hx	hy	hz 
53.171	173	-82	-248 
53.171	172	-85	-250 
53.171	172	-86	-250 
53.186	172	-85	-246 
53.202	174	-85	-245 
53.233	173	-85	-246 
53.249	172	-86	-248 
53.264	174	-86	-248 
53.327	172	-84	-249 
53.342	173	-83	-247 
53.342	171	-84	-247 
53.358	170	-85	-248 
53.374	171	-84	-251 
53.389	171	-83	-254 
53.405	171	-83	-256 
53.436	172	-81	-256 
53.452	171	-82	-256 
53.467	169	-81	-256 
53.483	168	-79	-257 
53.561	167	-79	-257 
53.577	169	-77	-260 
53.577	169	-76	-259 
53.577	169	-75	-258 
53.593	168	-74	-259 
53.608	166	-75	-262 
53.624	164	-74	-264 
53.655	165	-72	-264 
53.671	164	-70	-266 
53.717	162	-69	-268 
53.733	159	-67	-270 
53.733	156	-65	-273 
53.749	154	-63	-276 
53.764	150	-62	-277 
53.780	148	-58	-280 
53.796	144	-54	-285 
53.827	142	-51	-290 
53.843	137	-48	-294 
53.858	137	-43	-294 
53.874	138	-33	-296 
53.921	139	-25	-300 
53.936	131	-21	-300 
53.952	130	-20	-301 
53.967	131	-21	-302 
53.983	132	-25	-303 
54.014	128	-26	-304 
54.030	126	-23	-301 
54.061	127	-20	-302 
54.077	126	-20	-302 
54.093	126	-18	-303 
54.138	127	-20	-308 
54.154	128	-18	-307 
54.154	127	-15	-312 
54.169	129	-8	-316 
54.185	127	0	-319 
54.216	126	8	-321 
54.232	123	16	-324 
54.247	122	22	-325 
54.263	121	31	-326 
54.279	120	40	-327 
54.310	118	47	-329 
54.357	118	56	-329 
54.372	119	63	-328 
54.372	122	66	-326 
54.388	122	64	-326 
54.404	124	60	-327 
54.435	126	61	-325 
54.451	132	63	-323 
54.466	137	67	-321 
54.513	139	72	-316 
54.529	144	76	-312 
54.529	147	80	-308 
54.544	152	86	-302 
54.560	153	93	-297 
54.591	156	102	-291 
54.607	159	109	-285 
54.622	162	115	-281 
54.654	162	121	-278 
54.669	167	130	-266 
54.685	171	141	-248 
54.732	173	156	-226 
54.747	172	168	-207 
54.747	168	178	-191 
54.764	167	186	-179 
54.784	165	192	-169 
54.803	163	197	-159 
54.818	161	206	-144 
54.834	156	215	-127 
54.849	153	222	-107 
54.881	150	231	-86 
54.896	149	234	-58 
54.912	148	234	-29 
54.943	145	232	-1 
54.959	140	226	22 
54.974	135	220	47 
54.990	134	214	68 
55.021	135	210	85 
55.037	137	208	99 
55.053	139	203	117 
55.084	139	199	135 
55.099	137	197	148 
55.128	130	199	162 
55.160	129	202	176 
55.175	131	204	189 
55.191	133	204	195 
55.207	133	203	198 
55.222	137	200	200 
55.254	139	197	204 
55.269	141	196	210 
55.285	144	195	215 
55.300	147	193	217 
55.316	149	191	220 
55.379	147	188	225 
55.410	144	184	232 
55.410	144	181	239 
55.410	143	175	246 
55.425	139	169	251 
55.441	135	163	260 
55.457	134	158	268 
55.472	132	152	276 
55.488	127	144	280 
55.519	125	133	284 
55.550	125	123	283 
55.566	118	109	282 
55.582	112	95	273 
55.597	99	70	259 
55.629	88	42	245 
55.644	71	13	233 
55.660	56	-14	220 
55.675	45	-41	205 
55.738	35	-63	195 
55.754	27	-86	183 
55.754	24	-103	175 
55.769	24	-118	166 
55.785	21	-129	161 
55.800	21	-141	152 
55.816	21	-154	141 
55.832	24	-167	132 
55.847	25	-182	118 
55.879	24	-191	111 
55.894	26	-198	102 
55.910	27	-205	91 
55.941	28	-214	75 
55.972	30	-222	59 
55.988	31	-228	43 
56.004	32	-233	27 
56.019	33	-234	10 
56.035	37	-240	-4 
56.066	39	-243	-21 
56.082	43	-245	-39 
56.097	49	-246	-56 
56.124	52	-250	-67 
56.155	55	-251	-77 
56.177	60	-250	-89 
56.198	63	-248	-101 
56.214	67	-244	-113 
56.229	71	-240	-126 
56.245	76	-235	-141 
56.261	79	-232	-156 
56.276	83	-223	-171 
56.308	89	-212	-187 
56.323	95	-201	-202 
56.339	101	-188	-215 
56.401	106	-181	-226 
56.433	111	-166	-236 
56.433	115	-150	-243 
56.433	121	-135	-251 
56.448	123	-123	-259 
56.464	131	-106	-264 
56.479	136	-92	-269 
56.495	144	-80	-273 
56.511	146	-65	-274 
56.542	150	-51	-275 
56.558	155	-38	-277 
56.573	158	-27	-276 
56.589	164	-17	-272 
56.604	169	-12	-270 
56.636	174	-8	-268 
56.651	176	-5	-269 
56.667	184	1	-265 
56.698	188	8	-260 
56.714	191	16	-253 
56.745	198	25	-241 
56.761	200	47	-232 
56.776	202	70	-221 
56.792	204	92	-208 
56.808	208	115	-191 
56.823	214	135	-168 
56.854	212	157	-151 
56.870	207	177	-136 
56.886	204	197	-116 
56.917	203	208	-90 
56.964	199	219	-68 
56.995	198	226	-44 
56.995	197	230	-20 
57.011	195	232	4 
57.026	193	233	25 
57.042	189	236	44 
57.058	184	238	60 
57.089	180	238	82 
57.104	176	238	96 
57.129	170	233	102 
57.150	160	226	98 
57.181	149	215	96 
57.213	139	203	99 
57.213	132	189	112 
57.228	127	173	126 
57.244	121	153	141 
57.259	117	134	154 
57.275	115	115	163 
57.291	114	97	170 
57.322	109	78	173 
57.338	106	61	175 
57.353	104	45	176 
57.416	102	30	175 
57.431	99	16	171 
57.431	98	2	168 
57.447	97	-9	166 
57.463	97	-20	163 
57.478	93	-34	157 
57.494	92	-50	152 
57.525	90	-61	146 
57.572	88	-72	139 
57.588	83	-84	133 
57.588	78	-97	130 
57.603	74	-107	124 
57.619	71	-118	115 
57.634	71	-126	109 
57.650	68	-133	102 
57.666	66	-138	102 
57.681	67	-142	114 
57.713	74	-144	132 
57.728	87	-137	162 
57.744	101	-124	198 
57.775	109	-112	232 
57.791	111	-108	254 
57.806	109	-116	266 
57.822	107	-127	268 
57.853	104	-139	265 
57.869	103	-149	262 
57.884	101	-164	252 
57.900	100	-177	238 
57.931	97	-188	220 
57.963	94	-200	211 
57.994	90	-210	197 
58.009	87	-218	183 
58.025	87	-227	168 
58.041	84	-232	153 
58.056	74	-242	122 
58.072	66	-248	87 
58.103	60	-253	57 
58.120	56	-257	30 
58.128	51	-258	-4 
58.143	48	-259	-42 
58.221	49	-259	-80 
58.237	51	-257	-115 
58.237	52	-249	-151 
58.237	55	-238	-187 
58.253	57	-225	-219 
58.268	59	-212	-243 
58.284	62	-196	-267 
58.299	66	-178	-285 
58.331	70	-161	-298 
58.362	74	-144	-303 
58.378	80	-127	-311 
58.393	86	-110	-317 
58.409	90	-93	-321 
58.424	98	-76	-324 
58.440	108	-59	-328 
58.471	115	-46	-327 
58.487	122	-35	-325 
58.503	130	-19	-324 
58.518	137	-6	-320 
58.565	144	4	-316 
58.581	151	14	-310 
58.596	157	22	-303 
58.612	165	31	-297 
58.628	170	37	-290 
58.643	175	43	-283 
58.674	181	45	-274 
58.690	186	41	-266 
58.706	194	23	-256 
58.721	199	3	-247 
58.784	202	-19	-238 
58.799	203	-40	-229 
58.799	202	-55	-222 
58.815	198	-64	-221 
58.831	195	-71	-227 
58.846	189	-80	-230 
58.862	185	-88	-228 
58.878	181	-101	-224 
58.909	181	-119	-208 
58.924	184	-143	-175 
58.940	185	-167	-125 
58.956	185	-183	-74 
58.987	189	-189	-22 
59.003	191	-188	25 
59.018	191	-180	75 
59.049	190	-162	123 
59.065	185	-141	163 
59.081	178	-120	197 
59.096	174	-103	220 
59.124	177	-85	237 
59.140	183	-63	253 
59.155	189	-37	263 
59.186	191	-14	267 
59.202	192	8	267 
59.218	187	33	258 
59.249	179	64	243 
59.264	173	89	229 
59.280	167	114	217 
59.296	163	136	202 
59.327	157	160	180 
59.343	158	181	155 
59.374	157	202	125 
59.405	157	218	89 
59.421	159	226	49 
59.436	161	234	21 
59.452	166	235	-3 
59.468	171	233	-19 
59.483	177	228	-31 
59.514	181	223	-38 
59.530	187	213	-52 
59.546	195	201	-70 
59.577	205	188	-90 
