StartTime: 2018-12-21 16:58:23.492
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	11.903	0.0376	0.0376	1.0562	-4.3335	1.2207	1.0376	1.3019	1.6040	7.5146	28.7600	21	190	-184 
0x50	11.905	0.0249	0.0479	1.0547	-4.3335	1.7700	-0.1221	1.2305	1.5985	7.5201	28.7500	21	190	-182 
0x50	11.905	0.0171	0.0449	1.0596	-4.2725	2.3193	-1.3428	1.1591	1.6095	7.4927	28.7900	19	190	-181 
0x50	11.905	0.0161	0.0454	1.0654	-3.8452	2.2583	-1.4648	1.0931	1.6205	7.4487	28.7700	18	191	-180 
0x50	11.930	0.0132	0.0283	1.0684	-2.8076	1.5869	-1.6479	1.0382	1.6315	7.3993	28.7600	18	190	-180 
0x50	11.957	0.0142	0.0405	1.0679	-2.0752	1.1597	-2.0752	0.9998	1.6315	7.3444	28.7600	18	189	-181 
0x50	11.957	0.0142	0.0562	1.0547	-2.7466	1.4648	-3.4790	0.9723	1.6315	7.2729	28.7400	19	190	-180 
0x50	11.975	0.0098	0.0537	1.0562	-3.0518	1.2207	-3.9063	0.9338	1.6315	7.1851	28.7400	18	191	-180 
0x50	11.995	-0.0020	0.0518	1.0698	-3.0518	1.5869	-4.1504	0.8899	1.6370	7.0862	28.7600	19	191	-179 
0x50	12.094	0.0024	0.0483	1.0742	-2.9907	2.5024	-5.0049	0.8514	1.6589	6.9763	28.7600	19	191	-179 
0x50	12.094	0.0112	0.0562	1.0708	-3.1738	1.3428	-5.3711	0.8020	1.6754	6.8555	28.7500	19	193	-179 
0x50	12.094	0.0024	0.0439	1.0581	-2.6245	0.0610	-4.1504	0.7635	1.6644	6.7456	28.7700	17	194	-178 
0x50	12.094	-0.0103	0.0229	1.0444	-1.8311	0.4272	-4.2114	0.7361	1.6479	6.6357	28.7600	17	196	-178 
0x50	12.094	-0.0020	0.0391	1.0527	-1.7700	1.7090	-4.6387	0.7086	1.6589	6.5314	28.7700	20	194	-179 
0x50	12.114	0.0073	0.0552	1.0732	-2.8076	1.4038	-3.7231	0.6866	1.6754	6.4325	28.7500	18	192	-178 
0x50	12.155	0.0063	0.0508	1.0757	-3.5400	-0.5493	-2.3193	0.6427	1.6589	6.3611	28.7500	17	193	-177 
0x50	12.155	-0.0132	0.0444	1.0674	-2.7466	-2.3804	-0.6714	0.5988	1.6040	6.3116	28.7300	16	195	-178 
0x50	12.175	-0.0215	0.0425	1.0566	-1.3428	-1.7090	-0.2441	0.5823	1.5546	6.2732	28.7600	16	194	-178 
0x50	12.194	-0.0137	0.0488	1.0640	-1.4038	-0.3662	0.0000	0.5768	1.5326	6.2402	28.7600	16	195	-179 
0x50	12.293	-0.0024	0.0601	1.0591	-1.4648	-0.0610	-0.1221	0.5768	1.5161	6.2128	28.7600	16	195	-179 
0x50	12.293	-0.0044	0.0449	1.0562	-2.7466	-1.1597	-0.0610	0.5548	1.4832	6.1908	28.7800	16	194	-180 
0x50	12.293	-0.0171	0.0493	1.0664	-2.7466	-1.6479	0.1831	0.5219	1.4447	6.1633	28.7600	16	193	-180 
0x50	12.293	-0.0220	0.0483	1.0625	-3.2959	-0.9766	-0.1221	0.4889	1.4172	6.1359	28.7800	16	193	-180 
0x50	12.293	-0.0249	0.0610	1.0601	-3.2349	-0.3052	0.4883	0.4559	1.4008	6.1029	28.7800	16	194	-181 
0x50	12.314	-0.0366	0.0508	1.0522	-1.8311	0.3052	2.3804	0.4340	1.4063	6.0919	28.7600	14	194	-179 
0x50	12.334	-0.0254	0.0601	1.0630	-1.2207	1.0986	3.1128	0.4395	1.4227	6.1029	28.7700	13	194	-179 
0x50	12.355	-0.0039	0.0552	1.0649	-2.6855	1.2207	3.6621	0.4395	1.4337	6.1414	28.7500	15	193	-179 
0x50	12.373	-0.0029	0.0547	1.0630	-4.4556	0.7324	3.6011	0.3955	1.4392	6.1963	28.7600	16	194	-178 
0x50	12.407	-0.0020	0.0522	1.0527	-5.7373	0.9155	3.2959	0.3186	1.4392	6.2402	28.7600	17	194	-176 
0x50	12.465	0.0015	0.0488	1.0444	-5.1880	1.4648	3.6011	0.2417	1.4447	6.2952	28.7600	17	193	-174 
0x50	12.492	0.0020	0.0552	1.0439	-5.4321	3.1738	3.9673	0.1703	1.4722	6.3501	28.7700	16	197	-175 
0x50	12.492	0.0098	0.0508	1.0479	-5.7373	4.2725	4.5166	0.0879	1.5216	6.4105	28.7800	14	198	-176 
0x50	12.492	0.0073	0.0415	1.0522	-5.9204	4.6997	5.8594	0.0055	1.5930	6.4929	28.7800	14	197	-177 
0x50	12.492	0.0176	0.0513	1.0571	-6.4697	5.4321	6.9580	-0.0824	1.6644	6.6083	28.7900	15	197	-176 
