StartTime: 2018-12-31 15:18:48.198
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	1125.100	0.1470	-0.1216	1.0513	-3.5400	2.0142	-1.3428	-7.8552	-4.2242	-104.3756	21.7800	-194	-19	-186 
0x50	1125.120	0.1455	-0.1172	1.0479	-3.2349	3.2349	-2.6855	-7.9047	-4.2188	-104.4196	21.7600	-193	-19	-187 
0x50	1125.139	0.1396	-0.1221	1.0488	-2.8076	3.0518	-2.5635	-7.9376	-4.2078	-104.4580	21.7800	-194	-16	-187 
0x50	1125.194	0.1328	-0.1055	1.0649	-3.4180	2.2583	-2.2583	-7.9761	-4.1913	-104.4910	21.7900	-194	-16	-186 
0x50	1125.196	0.1304	-0.1162	1.0576	-4.3335	1.8311	-1.4648	-8.0310	-4.1913	-104.5020	21.7800	-193	-18	-187 
0x50	1125.199	0.1421	-0.1255	1.0503	-3.8452	2.6855	-2.0752	-8.0969	-4.1913	-104.5349	21.7800	-193	-21	-188 
0x50	1125.220	0.1489	-0.1240	1.0498	-3.7231	3.5400	-3.2349	-8.1464	-4.1803	-104.6008	21.7900	-193	-22	-187 
0x50	1125.239	0.1421	-0.1289	1.0498	-4.6387	3.9063	-4.5776	-8.2123	-4.1583	-104.6942	21.7900	-194	-20	-186 
0x50	1125.259	0.1313	-0.1284	1.0479	-5.0049	3.6621	-4.5166	-8.2837	-4.1364	-104.7821	21.7900	-195	-19	-189 
0x50	1125.279	0.1333	-0.1255	1.0610	-5.1880	3.2349	-3.3569	-8.3606	-4.1144	-104.8535	21.7900	-194	-18	-189 
0x50	1125.299	0.1479	-0.1377	1.0571	-5.4321	3.0518	-3.1128	-8.4485	-4.1034	-104.9139	21.7800	-195	-18	-188 
0x50	1125.321	0.1616	-0.1484	1.0547	-3.0518	2.8687	-3.8452	-8.5254	-4.1034	-104.9854	21.7800	-195	-19	-189 
0x50	1125.338	0.1411	-0.1426	1.0410	-1.3428	2.6245	-4.3335	-8.5474	-4.1144	-105.0842	21.7800	-193	-21	-187 
0x50	1125.384	0.1299	-0.1255	1.0405	-2.5635	3.8452	-4.9438	-8.5583	-4.0979	-105.1886	21.7800	-194	-21	-186 
0x50	1125.386	0.1353	-0.1201	1.0513	-3.7842	4.6387	-5.3101	-8.5968	-4.0649	-105.2875	21.7900	-193	-21	-187 
0x50	1125.397	0.1455	-0.1196	1.0518	-4.6387	3.9673	-4.8218	-8.6462	-4.0375	-105.3864	21.8100	-193	-22	-189 
0x50	1125.418	0.1377	-0.1279	1.0459	-6.6528	4.9438	-6.8359	-8.7341	-4.0100	-105.5127	21.7900	-193	-22	-190 
0x50	1125.438	0.1299	-0.1104	1.0347	-7.3242	7.6904	-9.6436	-8.8385	-3.9551	-105.6885	21.7900	-192	-21	-190 
0x50	1125.458	0.1245	-0.1157	1.0605	-10.2539	8.2397	-10.4370	-8.9539	-3.8617	-105.8862	21.7900	-195	-22	-190 
0x50	1125.478	0.1260	-0.1064	1.0601	-10.5591	7.7515	-9.6436	-9.1241	-3.7738	-106.0840	21.7900	-191	-22	-189 
0x50	1125.498	0.1162	-0.1182	1.0630	-10.6812	7.0801	-9.0332	-9.2725	-3.6859	-106.2598	21.7900	-189	-20	-191 
0x50	1125.517	0.1089	-0.1152	1.0552	-9.8877	6.9580	-7.9956	-9.4318	-3.6090	-106.4136	21.7900	-191	-19	-190 
0x50	1125.573	0.1104	-0.1177	1.0571	-7.7515	7.2021	-7.3853	-9.5581	-3.5266	-106.5509	21.7700	-191	-21	-190 
0x50	1125.576	0.1069	-0.1230	1.0488	-6.0425	6.5918	-6.2256	-9.6515	-3.4497	-106.6663	21.7900	-190	-22	-189 
0x50	1125.577	0.0996	-0.1167	1.0493	-4.3945	6.8970	-6.1035	-9.7119	-3.3673	-106.7816	21.8100	-191	-23	-191 
0x50	1125.608	0.0859	-0.1245	1.0405	-6.5918	6.4697	-5.9814	-9.8108	-3.2904	-106.9025	21.7900	-193	-22	-191 
0x50	1125.617	0.0933	-0.1265	1.0508	-8.3008	6.5308	-4.3335	-9.9097	-3.1970	-106.9904	21.8100	-192	-23	-191 
0x50	1125.637	0.1401	-0.1484	1.0405	-8.8501	5.7983	-3.9673	-10.0470	-3.1311	-107.0673	21.8100	-194	-22	-188 
0x50	1125.657	0.1572	-0.1343	1.0093	-7.9956	5.9814	-3.7842	-10.1898	-3.0981	-107.1497	21.8000	-194	-21	-187 
