StartTime: 2018-11-23 19:07:01.106
Time(s)	ax(g)	ay(g)	az(g)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
508.500	-0.0107	0.0132	1.0181	-0.1373	3.6310	-15.5621	27.8800 
508.520	-0.0083	0.0244	1.0273	-0.1593	3.6365	-15.5841	27.8800 
508.540	-0.0093	0.0234	1.0288	-0.1813	3.6365	-15.6171	27.9000 
508.560	-0.0088	0.0190	1.0288	-0.2087	3.6420	-15.6500	27.8700 
508.579	-0.0103	0.0215	1.0332	-0.2417	3.6475	-15.6775	27.8600 
508.600	-0.0112	0.0239	1.0249	-0.2637	3.6475	-15.7050	27.8800 
508.620	-0.0127	0.0205	1.0225	-0.2966	3.6475	-15.7269	27.8900 
508.683	-0.0142	0.0132	1.0234	-0.3351	3.6475	-15.7489	27.9000 
508.689	-0.0127	0.0176	1.0254	-0.3845	3.6530	-15.7764	27.8800 
508.689	-0.0127	0.0186	1.0303	-0.4395	3.6639	-15.8258	27.8800 
508.699	-0.0151	0.0220	1.0293	-0.5219	3.6694	-15.8807	27.8700 
508.719	-0.0127	0.0205	1.0283	-0.6152	3.6804	-15.9357	27.8800 
508.739	-0.0083	0.0112	1.0205	-0.7031	3.6914	-15.9686	27.8700 
508.760	-0.0171	0.0068	1.0234	-0.7800	3.6914	-16.0071	27.9000 
508.779	-0.0146	0.0073	1.0195	-0.8679	3.7024	-16.0565	27.8700 
508.799	-0.0234	0.0127	1.0264	-0.9613	3.7244	-16.1334	27.8800 
508.820	-0.0361	0.0205	1.0425	-1.0327	3.7518	-16.2103	27.8900 
508.883	-0.0361	0.0205	1.0498	-1.0712	3.7628	-16.2213	27.8900 
508.888	-0.0332	0.0161	1.0391	-1.0767	3.7683	-16.1719	27.9000 
508.888	-0.0278	0.0049	1.0176	-1.0547	3.7573	-16.0895	27.9000 
508.898	-0.0381	0.0151	1.0313	-1.0657	3.7628	-16.0236	27.8700 
508.918	-0.0449	-0.0049	1.0264	-1.1536	3.7958	-15.9741	27.9000 
508.938	-0.0439	0.0088	1.0303	-1.3129	3.8562	-15.9412	27.9100 
508.958	-0.0518	0.0010	1.0449	-1.5985	3.9551	-15.9467	27.8900 
508.978	-0.0396	0.0049	1.0215	-1.9226	4.0649	-15.9302	27.8900 
508.998	-0.0464	-0.0483	1.0166	-2.1533	4.1528	-15.8807	27.9000 
509.018	-0.0488	-0.0205	1.0503	-2.3346	4.2352	-15.8313	27.8900 
509.038	-0.0444	0.0039	1.0249	-2.3895	4.2902	-15.6885	27.8900 
509.058	-0.0273	-0.0034	1.0063	-2.4554	4.3451	-15.5182	27.9000 
509.078	-0.0127	-0.0146	1.0195	-2.5983	4.4110	-15.3479	27.9000 
509.124	-0.0254	-0.0156	1.0317	-2.8290	4.5154	-15.2271	27.9000 
509.126	-0.0049	-0.0337	1.0356	-3.0872	4.6417	-15.1227	27.9000 
509.138	0.0083	-0.0308	1.0356	-3.2904	4.7571	-15.0348	27.9000 
509.157	-0.0059	-0.0249	1.0283	-3.4882	4.8779	-14.9744	27.8900 
509.177	-0.0112	-0.0278	1.0200	-3.6749	4.9933	-14.9249	27.8800 
509.197	-0.0166	-0.0527	1.0122	-3.8068	5.1141	-14.8700	27.8700 
509.217	-0.0298	-0.0386	1.0327	-3.9166	5.2515	-14.8480	27.8900 
509.237	-0.0122	-0.0527	1.0391	-4.0649	5.3778	-14.8206	27.8800 
509.257	-0.0269	-0.0352	1.0615	-4.1638	5.4877	-14.8041	27.9000 
509.277	-0.0205	-0.0708	1.0518	-4.1693	5.5481	-14.7601	27.8800 
509.314	-0.0332	-0.0732	1.0454	-4.1748	5.5756	-14.7601	27.9000 
509.316	-0.0342	-0.0640	1.0103	-4.1858	5.5701	-14.7986	27.8900 
509.336	-0.0342	-0.0454	1.0259	-4.1858	5.5701	-14.9084	27.8800 
509.357	-0.0166	-0.0698	1.0405	-4.1528	5.5426	-15.0238	27.9000 
509.376	-0.0161	-0.0464	1.0532	-4.1089	5.4767	-15.1447	27.9000 
509.396	-0.0522	-0.0469	1.0220	-4.0100	5.3888	-15.3094	27.8900 
509.416	-0.0684	-0.0313	1.0317	-3.8837	5.2954	-15.4907	27.8800 
509.436	-0.0605	-0.0313	1.0078	-3.8068	5.2295	-15.7050	27.8900 
509.456	-0.0449	-0.0313	1.0146	-3.7134	5.1471	-15.8917	27.8900 
509.505	-0.0205	-0.0137	1.0220	-3.6145	5.0482	-16.0400	27.9100 
509.507	-0.0625	-0.0098	1.0337	-3.5321	4.9274	-16.1389	27.9100 
509.516	-0.0928	0.0210	1.0244	-3.4497	4.8615	-16.2378	27.9000 
509.536	-0.0864	0.0015	1.0264	-3.2739	4.7845	-16.2158	27.8900 
509.558	-0.0039	0.0244	1.0215	-3.1586	4.7461	-16.1884	27.9000 
509.576	0.0195	0.0391	1.0151	-2.9608	4.6802	-16.1005	27.9000 
509.595	-0.1211	0.0308	1.0068	-2.6862	4.6472	-16.0400	27.9000 
509.616	-0.0728	0.0415	1.0361	-2.3456	4.6582	-15.9027	27.9000 
509.635	-0.0156	-0.0957	0.9995	-2.1094	4.6362	-15.7214	27.9000 
509.655	0.0093	-0.0234	1.0049	-2.1588	4.6527	-15.7269	27.9100 
509.707	0.0244	0.0420	1.0024	-2.2687	4.6692	-15.8093	27.9000 
509.709	-0.0010	0.0479	1.0112	-2.3126	4.6362	-15.8972	27.9000 
509.715	-0.0264	0.0562	1.0190	-2.2852	4.5758	-15.9576	27.8900 
509.735	-0.0259	0.0308	1.0122	-2.2577	4.5154	-15.9741	27.9100 
509.755	0.0117	0.0137	1.0249	-2.2797	4.4440	-15.9741	27.9000 
509.775	0.0571	0.0327	1.0708	-2.2961	4.3561	-15.9412	27.8800 
