StartTime: 2018-12-21 17:34:01.934
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	14.172	0.0298	0.0415	1.0571	-1.2207	1.4038	0.3052	0.2252	0.7690	102.4860	37.3200	303	-71	-219 
0x50	14.188	0.0298	0.0400	1.0586	-1.0986	1.5869	0.0000	0.2252	0.7690	102.4805	37.3400	302	-71	-220 
0x50	14.203	0.0313	0.0415	1.0596	-1.2207	1.5259	0.5493	0.2252	0.7690	102.4695	37.3300	303	-70	-219 
0x50	14.219	0.0298	0.0420	1.0581	-1.1597	1.5869	0.6714	0.2252	0.7745	102.4695	37.3300	304	-70	-220 
0x50	14.266	0.0303	0.0415	1.0562	-1.2817	0.8545	0.6104	0.2252	0.7635	102.4640	37.3200	304	-68	-220 
0x50	14.266	0.0313	0.0410	1.0581	-1.2817	0.9155	0.7324	0.2252	0.7526	102.4585	37.3200	304	-68	-223 
0x50	14.281	0.0308	0.0415	1.0581	-1.1597	1.4648	1.0376	0.2252	0.7471	102.4585	37.3300	304	-69	-222 
0x50	14.297	0.0303	0.0400	1.0591	-1.1597	1.2817	0.9155	0.2252	0.7471	102.4640	37.3200	306	-71	-222 
0x50	14.328	0.0313	0.0410	1.0596	-1.2207	0.9766	0.9766	0.2252	0.7361	102.4695	37.3200	306	-71	-221 
0x50	14.344	0.0313	0.0415	1.0586	-1.1597	1.5869	0.9766	0.2252	0.7306	102.4750	37.3200	303	-72	-220 
0x50	14.360	0.0308	0.0410	1.0586	-1.1597	1.4648	0.7935	0.2252	0.7361	102.4805	37.3200	304	-70	-221 
0x50	14.391	0.0317	0.0415	1.0605	-1.1597	1.2207	0.8545	0.2252	0.7306	102.4750	37.3100	304	-68	-223 
0x50	14.406	0.0313	0.0396	1.0601	-1.0986	1.7090	0.9155	0.2252	0.7306	102.4805	37.3200	304	-69	-222 
0x50	14.422	0.0303	0.0400	1.0591	-1.2207	1.4038	0.7324	0.2252	0.7306	102.4805	37.3100	303	-70	-221 
0x50	14.516	0.0308	0.0425	1.0586	-1.2207	1.3428	0.7324	0.2252	0.7306	102.4805	37.3200	302	-70	-220 
0x50	14.531	0.0317	0.0420	1.0605	-1.1597	1.5869	0.6714	0.2252	0.7306	102.4805	37.3200	302	-70	-220 
0x50	14.531	0.0313	0.0400	1.0601	-1.1597	1.5259	0.7324	0.2252	0.7306	102.4805	37.3200	305	-71	-219 
0x50	14.531	0.0322	0.0415	1.0591	-1.1597	1.4648	0.6104	0.2252	0.7306	102.4805	37.3300	305	-71	-220 
0x50	14.531	0.0313	0.0420	1.0591	-1.1597	1.4648	0.7935	0.2307	0.7306	102.4805	37.3200	307	-70	-221 
